stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,mesenchyme,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,2.63,0,36.8,15.77,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,6.29,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0
 24-34,0,0,0,0,0.82,0,0,0,1.64,6.57,0,4.93,0,2.46,0
 36-46,0,0,0.81,0,0.81,0,0,0,1.61,2.42,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,2.87,0,0,0,0.57,0
 60-70,0,0,1.96,0,2.94,0,0.98,0,0,1.96,0,1.96,0,0,0.98
 72-82,0,0,0.98,0,1.96,0,0.98,0,0.98,1.96,0,1.96,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,0,2.12,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,2.19,0,0,0
108-118,0,0,1.53,0,0.77,0.77,0,0,1.53,2.3,0,3.06,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,1.96,0,3.92,0,0,0
