stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,70.98,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,22.03,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,2,0,0,2,1,0,0,0,0,0,0,2,0,3,20,1,0,1,0,0,0,1,0,8,10,0,0,0,0,0
 24-34,0,0,0.82,0,0,8.21,0,0,0.82,0,0,0,0.82,0,0,0,10.67,0,3.28,81.26,0.82,0,0,0,0,0,0,0,0,16.42,0,0,1.64,0,0
 36-46,0,0,0,1.61,0.81,15.31,0,0,0.81,0,0,0.81,0,0,0,0.81,8.86,0.81,0,85.4,0.81,0,0.81,0,0,0,0,0,0,22.56,0,0,1.61,0,0
 48-58,0,0,0,0,0,14.35,0.57,0,3.44,0,0,0,0,0.57,0,0,10.33,1.72,5.16,79.76,0,0.57,0,0,0,0,0,0,0,17.79,0,0,1.15,0,1.15
 60-70,0,0,0,0,0,26.5,0,0,6.87,0,0,0,0.98,0,0,0,15.7,0,2.94,107.97,0,1.96,0,0,0,0,0,0,0,12.76,0.98,0,0,0,0
 72-82,0,0,0,0,0,18.65,0,0,3.93,0,0,0,0,0,0,0,6.87,0,0.98,61.84,0,0,0,0,0,0,0,0,0,10.8,0,0,1.96,0.98,0
 84-94,0,0,0,1.06,0,20.18,0,1.06,3.19,0,0,0,0,0,0,0,11.68,3.19,3.19,82.84,0,1.06,0,0,1.06,1.06,0,2.12,0,4.25,0,1.06,3.19,0,0
 96-106,0,0,0,0,0,18.58,0,1.09,9.84,0,0,1.09,0,0,0,0,3.28,0,2.19,65.57,0,1.09,1.09,0,1.09,0,0,0,0,1.09,0,0,1.09,0,1.09
108-118,0,0,0,0.77,0,11.49,0,0.77,3.83,0,0,0,1.53,0,0,0,8.43,0,4.6,88.85,0,1.53,1.53,0,0.77,0,0,0,0,2.3,0,0.77,2.3,0,0
120,0,0,0,1.96,0,21.56,0,0,7.84,1.96,0,0,0,0,1.96,0,15.68,0,5.88,84.27,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0
