stage,axial,blastomeres,epidermis,eye,fast.muscle,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,251.32,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,6,1,0,0,0,0,2,0,4,4,1,0,0,2,7,1,15,0,0,0,0
 24-34,0,0,0,0,0,7.39,0,0,0,0,0,0.82,0,8.21,5.75,1.64,0,0.82,0,8.21,0,15.6,0,0,1.64,0
 36-46,0,0,0.81,0,0,5.64,0,0,0.81,0,0,0.81,0,11.28,11.28,1.61,0,0.81,0,6.45,0,13.7,0,0,0.81,0
 48-58,0,0,1.15,0,0,5.16,0,0,0.57,0,0.57,2.3,0,8.61,5.74,0.57,0,0,0,1.72,0,11.48,0,0,0,0
 60-70,0,0,0,0.98,0,5.89,0,0,0.98,0,0.98,1.96,0,6.87,6.87,3.93,0,0,0,1.96,0,5.89,0,0,0,0.98
 72-82,0,0,0,1.96,0,8.83,0,0.98,0.98,0,0.98,1.96,0,5.89,10.8,2.94,0,0,0,0.98,0,5.89,0.98,0,0,0
 84-94,0,0,1.06,3.19,1.06,4.25,1.06,0,2.12,0,3.19,0,0,3.19,5.31,7.43,0,0,0,1.06,0,1.06,0,0,1.06,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,3.28,1.09,0,2.19,21.86,12.02,0,0,0,1.09,0,5.46,1.09,0,1.09,0
108-118,0,0,0,0.77,0,4.6,0,0,0,0.77,2.3,3.06,0,2.3,11.49,6.89,0,0,0,1.53,0,0.77,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,9.8,17.64,15.68,0,0,0,7.84,0,7.84,0,1.96,0,0
