stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,1,0,0,0
 24-34,3.28,4.1,0,0,1.64,0,0,0.82,0,0,0,20.52,0,0,0,0,0,0.82,0,0
 36-46,0,2.42,0.81,0,0.81,0,0,0,1.61,0,0,12.09,0,0.81,0,0.81,0,1.61,1.61,0.81
 48-58,0,2.87,0,0.57,0,0,0,0,1.15,0,1.15,5.74,0,0,0,0,0,1.72,0,0
 60-70,0.98,2.94,0,0,1.96,0,0,0,0.98,0.98,0,4.91,0,0,0,0,0,0,0,0
 72-82,0.98,2.94,0,0.98,0.98,0,0,0,0.98,0,0,6.87,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,4.25,0,0,5.31,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,1.09,0,1.09,0,2.19,0,0,0,0,0,0,0,0,0,0,0
108-118,1.53,0.77,0.77,0,0.77,0,0,0,0.77,0,0,1.53,0,0.77,0,0,0,0,0,0
120,1.96,3.92,0,1.96,1.96,1.96,0,0,1.96,0,1.96,7.84,1.96,1.96,0,0,0,0,0,0
