stage,axial,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
 24-34,0,1.64,0,0,0,0,0,0.82,0,2.46,0,0.82,0,4.93,0,16.42,4.1,0,0,0.82,0.82,0
 36-46,0,0.81,0,0,0,0,0,0.81,0,0.81,0,0,0,5.64,0,15.31,0.81,0,0,3.22,0,0
 48-58,0,0.57,0.57,0,0,0,0,1.15,0,0,0,0,0,6.31,0,8.61,0,0,0,1.15,1.15,0
 60-70,0,0.98,1.96,0.98,0,0,0.98,0,0,0.98,0,0.98,0,3.93,0,3.93,0,0,0.98,8.83,0,0
 72-82,0,1.96,0.98,0,0,0,1.96,0.98,0,0,0,2.94,0.98,9.82,0.98,5.89,0.98,0.98,0,7.85,0,2.94
 84-94,0,8.5,2.12,0,0,1.06,5.31,0,1.06,2.12,0,0,1.06,2.12,0,4.25,0,0,0,42.48,0,1.06
 96-106,0,3.28,1.09,2.19,0,0,6.56,0,0,0,1.09,3.28,2.19,4.37,0,3.28,1.09,0,0,26.23,0,0
108-118,0,8.43,0,0,0.77,0,3.83,0,0.77,3.06,0,6.13,0,2.3,0,2.3,0,0.77,0,23.74,0,3.83
120,0,13.72,0,0,0,0,3.92,0,0,1.96,0,0,1.96,3.92,0,3.92,1.96,1.96,0,39.2,0,1.96
