stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,6.29,0,0,0,0,0
 14-21,0,1,3,0,1,0,3,0,1,0,0,3,0,3,41,2,0,0,0,6,2,7,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,4.1,0,0.82,0,0.82,0,0,0,0
 36-46,0,0,1.61,0,7.25,0.81,8.06,0.81,0,0,0,11.28,0,5.64,70.9,0.81,0.81,0,1.61,0,0,35.45,1.61
 48-58,0,0,0,0,1.15,0.57,0.57,0.57,0,0.57,0,3.44,0.57,0.57,5.16,0,0,0,0,0,0,1.72,0
 60-70,0,0,2.94,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,2.12,0,0,0,0,0,0,0,1.06,0,0,1.06,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,9.96,0.77,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,1.53,0.77
120,0,0,0,11.76,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
