stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,2,2,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,1.64,0.82,0.82,0,0.82,0,0.82,8.21,0,0.82,4.93,0,3.28,1.64,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,16.11,0,0,33.03,0.81,7.25,1.61,0,0.81,0,0.81,0,0,0.81,0
 48-58,0,0.57,0,0.57,0,0,0.57,0.57,25.25,0,0,22.38,0.57,2.87,0.57,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,2.94,0,0,0,0,39.26,0,0,24.54,0.98,0.98,2.94,0,0,0,1.96,0,0,2.94,0
 72-82,0,0,0,0,0,0.98,0.98,0,54.97,0,0,40.25,0,1.96,2.94,0,0,0,0,0,0.98,2.94,0.98
 84-94,1.06,0,0,0,0,1.06,0,0,88.15,0,0,33.99,1.06,2.12,2.12,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,3.28,0,0,0,0,66.66,0,0,16.39,0,0,2.19,1.09,0,0,0,1.09,0,1.09,0
108-118,0,0,0,2.3,0.77,0.77,0,0,62.81,0.77,0,23.74,0,0.77,1.53,0,0,1.53,0,0,0,0.77,0.77
120,0,1.96,1.96,0,0,0,0,0,68.59,0,0,11.76,0,0,3.92,0,0,3.92,0,0,0,0,0
