stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,3,1,0,0,0,1,0,0,2,3,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0.82,45.15,0,3.28,0,0,6.57,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,49.95,0.81,4.83,0.81,1.61,4.83,0,0,0,0,0,0,0.81,0,0.81,0.81,0
 48-58,0,0,0,0,5.16,0,0,1.72,0,0,44.76,0,1.15,0,1.15,5.16,0,0,0,0,0,0,0,0,0.57,0.57,0
 60-70,0,0,0.98,0,3.93,0,0,0.98,0,0,62.82,0,3.93,0,0,4.91,0,0,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0.98,0,0,0.98,0,42.21,0,7.85,0.98,0,8.83,0,0.98,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,46.73,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,2.19,0,1.09,0,0,0,66.66,1.09,1.09,0,0,5.46,0,0,0,1.09,0,0,0,0,0,0,2.19
108-118,0,0,0,0,2.3,0,0,0,0.77,0,57.45,0,3.06,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,111.71,0,1.96,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0,1.96
