stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,5.26,0,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,25.18,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,16,0,0,0,1,0,1,0,0,2,6,0,0,0
 24-34,0,0,0.82,1.64,0,4.1,0.82,0,0,0,4.93,4.1,37.76,0.82,0,0,0,0,0,0,0,0,6.57,0,0,0
 36-46,0,0,0,1.61,0,6.45,0.81,0,0.81,0,4.03,0.81,22.56,0.81,0.81,0,0,0,0,0,0,0,3.22,0,0.81,0
 48-58,0,0,0,0.57,0,8.61,2.3,0,0,0,1.72,0,10.33,0,0.57,0,0,0.57,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0.98,0,3.93,5.89,0,0,0,6.87,0,6.87,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0.98,0.98,0,3.93,0.98,0,0,0,4.91,0,7.85,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,1.06,1.06,0,0,0,1.06,3.19,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,0,2.19,1.09,1.09,0,0,2.19,0,1.09,0,1.09,0,0,1.09,0,0,0,0,2.19,0,2.19,0
108-118,0,0,0,1.53,0,0,1.53,0,0,0,1.53,0,3.06,0,0.77,0.77,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,5.88,0,3.92,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0
