stage,epidermis,eye,fin_epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,neural,periderm,pronephros,spinal_cord,vasculature
 14-21,0,0,0,0,0,19,0,0,4,0,0,0,0,0
 24-34,0.82,0.82,0,0,0,72.24,0,0,19.7,5.75,1.64,0,0,0.82
 36-46,2.42,0.81,0,0,0,37.06,0,0.81,11.28,0.81,0.81,0.81,0,0
 48-58,0.57,0.57,0.57,0,0,12.05,1.15,0.57,2.3,1.72,0.57,0,1.15,0
 60-70,3.93,0,0.98,0,0,5.89,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,13.74,0,0,4.91,1.96,0,0,0,0
 84-94,5.31,0,0,0,0,10.62,0,0,6.37,1.06,1.06,0,0,0
 96-106,9.84,1.09,0,0,0,6.56,0,0,9.84,0,0,0,0,0
108-118,3.83,0,0,0,0,13.02,0,0,3.06,0,0,0,0,0
120,9.8,0,0,1.96,0,7.84,0,0,1.96,0,1.96,0,0,0
