stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0
 24-34,0,0.82,2.46,0,0,0,0,0.82,0,0,0,0,9.85,0,0,3.28,0,0,0,4.1,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,13.7,0,0,1.61,0.81,0.81,0,1.61,0,0,0,0
 48-58,0,0.57,0,0,0,1.15,0,1.72,1.15,0,0,0,9.75,0,0,0.57,0,0,0.57,1.72,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0.98,4.91,0,0,0,25.52,1.96,0,0.98,0,0,0,3.93,0.98,0,0,0
 72-82,0,2.94,0.98,0,0,2.94,0.98,1.96,0.98,0,0,0,45.16,0,0,5.89,0.98,0,0.98,2.94,0,0,0.98,0
 84-94,0,3.19,3.19,0,0,1.06,0,3.19,9.56,1.06,0,0,207.1,1.06,0,6.37,0,0,1.06,9.56,0,0,0,0
 96-106,0,4.37,1.09,1.09,0,4.37,0,0,7.65,0,1.09,0,289.6,7.65,0,20.76,0,1.09,2.19,1.09,1.09,1.09,1.09,1.09
108-118,0,0.77,6.13,1.53,0.77,5.36,0.77,0.77,3.83,0.77,0,0,491.75,3.06,0.77,20.68,0,0,2.3,5.36,0,0.77,0.77,0
120,0,1.96,0,0,0,0,0,1.96,1.96,0,0,1.96,313.57,3.92,0,17.64,1.96,0,0,5.88,0,0,0,0
