stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,5.26,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,1,1,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0.82,1.64,0.82,9.03,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,1.61,0,0,2.42,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,6.31,0,0,0.57,0,0,0,0,0,0,0,2.3,0,14.35,0.57,0.57,0,0,0,0,0,3.44,0
 60-70,0,0,0,0,0,6.87,0,0,0.98,0,0,0,0,0,0,0,0.98,0,14.72,0,0,0,0,0.98,0,0,1.96,0
 72-82,0,0,0,0,0,2.94,0,0,1.96,0,0,0.98,0,0,0,0,2.94,0.98,15.71,0,0,2.94,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,3.19,1.06,1.06,1.06,1.06,0,0,1.06,1.06,0,0,4.25,2.12,8.5,0,0,0,0,1.06,0,0,0,2.12
 96-106,0,0,2.19,0,0,6.56,0,0,1.09,0,0,0,0,0,0,0,2.19,0,5.46,0,0,1.09,0,2.19,0,0,1.09,0
108-118,0,0,0.77,0,0.77,1.53,0,0,0.77,0,0,0,0,0.77,0.77,0,3.83,0,8.43,0,0,0,0,1.53,0,0,0,0.77
120,0,0,1.96,1.96,0,3.92,0,0,1.96,0,0,0,0,0,0,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0
