stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1212.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,15.77,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.38,5.26,0,0,76.23,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,25.18,0,6.29,0,56.65,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,324.14,6.29,0,0,122.73,0,3.15,9.44,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,2,10,5,0,13,0,0,0,10,1,0,0,0,0,0,0,0,0,15,0,7,198,4,0,1,9,0,1,2,10,2,0,4,57,0,2,0,0
 24-34,0,0,0.82,6.57,1.64,0,35.3,0,0,0,5.75,0,0,0.82,0,0.82,1.64,0,0,0,29.55,0,12.31,279.09,0,0,3.28,0,0,2.46,0,0,0,0.82,0.82,56.64,0,3.28,0,0
 36-46,0,0,0,2.42,0.81,0,44.31,0,0,1.61,8.86,0,0,0,0,0,0,0,0,0,22.56,0.81,4.03,144.21,0,0.81,0.81,0,0,0.81,0,0,0,0,0,33.84,0,4.03,0,0.81
 48-58,0,0,0,1.72,0,0,63.69,0,0.57,0.57,7.46,0,0,0,0,0,0,0,0,0,21.8,2.87,9.18,63.69,0.57,1.72,0.57,0.57,0,0.57,0.57,0,0,0.57,0,11.48,0,1.15,0,0
 60-70,0,0,0,1.96,0,0,37.3,0,0.98,2.94,6.87,0.98,0,0,0,0,0,0,0,0,22.58,2.94,2.94,39.26,0,3.93,0.98,0,0,0.98,0,0,0,0,0,0,0,2.94,0,0.98
 72-82,0,0,0,1.96,0,0,22.58,0,0.98,0.98,14.72,0.98,0,0,1.96,0.98,0,0,0.98,0,27.49,0,1.96,30.43,0,0.98,0.98,0,0,0,0,0,0,0,0,1.96,0,0.98,0.98,0
 84-94,0,0,0,3.19,0,0,14.87,0,1.06,0,14.87,0,0,2.12,0,1.06,1.06,0,0,2.12,42.48,0,5.31,28.68,1.06,2.12,3.19,0,1.06,1.06,0,0,0,0,0,2.12,1.06,3.19,1.06,2.12
 96-106,0,0,0,4.37,0,0,21.86,0,0,1.09,16.39,0,0,0,1.09,0,0,1.09,1.09,0,24.04,1.09,2.19,29.51,0,5.46,2.19,0,1.09,1.09,0,0,0,0,0,1.09,0,3.28,1.09,0
108-118,0,0,0,1.53,0,0,16.85,0.77,0,1.53,11.49,0,0,0,0,0.77,0.77,0,0.77,0,12.26,0.77,2.3,40.6,0,3.83,0.77,0,0.77,2.3,0,0,0.77,0,0,0,0,7.66,0,0
120,0,0,0,5.88,0,1.96,13.72,0,0,0,11.76,0,0,0,1.96,0,1.96,1.96,0,0,19.6,0,9.8,47.03,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
