stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,961.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,1593.71,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2,12.26,0,0,12.26,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,57.83,0,131.44,0,2.63,0,160.35,0,0,0,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0,1976.79,31.54,0,0,927.94,0,5.26,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,53.5,0,110.14,0,6.29,0,198.26,0,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,2092.73,31.47,0,0,808.77,0,9.44,6.29,0,107,0,3.15,6.29,0,0,0,0
 14-21,1,0,0,27,219,61,0,146,0,0,0,52,7,1,1,0,16,0,2,0,0,95,0,0,75,1866,14,26,25,80,0,63,0,100,5,0,147,576,0,8,0,0
 24-34,0,0,0,3.28,45.15,18.88,0,485.13,0,0.82,1.64,38.58,1.64,0,3.28,1.64,9.85,1.64,4.93,0,0.82,162.53,0.82,1.64,65.67,1695.07,5.75,30.37,18.88,0,0.82,30.37,0,0.82,4.93,1.64,9.03,329.16,0,18.06,0,0.82
 36-46,0,0,0,0,31.42,9.67,0,824.2,0,4.03,0,29.81,1.61,0,2.42,0.81,2.42,0,3.22,2.42,0,163.55,0,5.64,53.17,1119.07,0.81,20.14,6.45,0,0,12.09,0,1.61,2.42,0,0,223.98,0,5.64,0,1.61
 48-58,0,0,0,0.57,20.08,1.72,0,582.41,0,2.87,4.02,39.59,0.57,0,1.15,0,1.72,2.3,2.3,0.57,0,144.03,0,4.59,32.71,372.97,0,6.89,5.16,0,0.57,6.89,0.57,0,0.57,0,0,53.94,0,9.18,0,1.72
 60-70,0,0,0,0,22.58,0,0,361.2,0,0.98,2.94,40.24,7.85,0,0,0.98,0.98,0.98,3.93,0,0,88.34,0,1.96,12.76,229.68,1.96,9.82,0.98,0,0,5.89,0,0,0.98,0.98,0,12.76,0,10.8,0.98,0
 72-82,0,0,0,0,27.49,1.96,0.98,128.6,0.98,0.98,3.93,40.25,2.94,0,2.94,0.98,1.96,0,2.94,1.96,0.98,84.42,0,4.91,16.69,160.99,0.98,8.83,4.91,0,0,5.89,0,0,0.98,0,0,1.96,0,4.91,0.98,0
 84-94,0,0,0,0,36.11,3.19,0,122.13,0,1.06,2.12,23.36,1.06,0,0,4.25,4.25,1.06,0,1.06,1.06,66.91,0,5.31,23.36,139.13,0,8.5,5.31,0,0,2.12,0,0,0,0,0,1.06,0,9.56,1.06,0
 96-106,0,0,1.09,0,7.65,7.65,1.09,75.41,1.09,1.09,2.19,30.6,6.56,0,0,4.37,3.28,0,1.09,0,0,46.99,0,3.28,8.74,98.36,0,12.02,3.28,0,0,4.37,0,0,2.19,0,0,0,0,3.28,1.09,0
108-118,0,0,0,0.77,16.09,7.66,0.77,83.49,0,0,3.06,23.74,2.3,0,0,3.83,3.06,1.53,0.77,0,0,36.77,0,0.77,15.32,160.09,1.53,7.66,3.83,0,0.77,4.6,0,0,1.53,0,0,3.06,0.77,8.43,0,0
120,0,0,0,0,13.72,9.8,0,60.75,0,0,1.96,13.72,0,0,0,7.84,1.96,0,1.96,1.96,0,27.44,0,1.96,13.72,78.39,0,5.88,1.96,0,1.96,3.92,0,0,0,0,0,1.96,0,3.92,1.96,0
