stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,pgc,pronephros,somites,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,6,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,9.03,0,0,0,0,0,0,3.28,0,0
 36-46,0,0,6.45,0,0,1.61,0,0,0,0,0,38.67,0,0,0,0,0,0,5.64,0,0
 48-58,0.57,0,53.94,0,0.57,2.3,0.57,0,0,0.57,0,71.15,0,0,0,0,0,0,7.46,0,0.57
 60-70,0,0,210.05,0,0,0,0,0,0,0,0.98,126.62,0,0,0.98,0,0.98,0,8.83,0,0
 72-82,1.96,0,81.48,0,0,1.96,0.98,0,0,0,0,89.33,0,0,0.98,0.98,0,0,9.82,0,0
 84-94,1.06,0,88.15,0,1.06,5.31,0,1.06,0,0,0,42.48,0,1.06,7.43,0,0,0,2.12,0,0
 96-106,2.19,0,33.88,1.09,0,2.19,0,0,1.09,1.09,0,24.04,0,0,2.19,0,0,0,1.09,1.09,0
108-118,0,0,32.17,0,0.77,0.77,0,0,0,0,0,28.34,0,0,3.06,0,0,0,1.53,0,0
120,0,0,41.16,0,0,5.88,0,0,0,0,0,35.28,0,0,1.96,0,0,0,1.96,0,0
