stage,blastomeres,eye,hatching.gland,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,10.51,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,1,2,0
 24-34,0,0.82,0,1.64,0,0,0.82,0.82,0,0,0,0.82,0
 36-46,0,0.81,0,0,1.61,0.81,4.03,0,0,0,0,1.61,0
 48-58,0,0,0,0,2.87,0,2.3,0,0,0,0,0,0
 60-70,0,0,0,0,3.93,0,6.87,0,0,0,0,0,0
 72-82,0,1.96,0,0.98,5.89,0,8.83,0,0,0,0,1.96,0.98
 84-94,0,2.12,0,0,4.25,0,1.06,0,0,0,0,0,0
 96-106,0,2.19,0,0,8.74,0,6.56,0,0,0,0,0,0
108-118,0,3.83,0,0,7.66,0,8.43,0,0,0,0,0,0
120,0,1.96,0,0,1.96,0,5.88,0,0,0,1.96,0,0
