stage,epidermis,erythrocytes,eye,fin.epithelia,gut,immune,liver,mesenchyme,muscle,neural,otic,presomitic.mesoderm,somites,vasculature
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,1,2,0
 24-34,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,2.42
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,1.06,5.31,0,0,0,0,0,0,0,3.19
 96-106,1.09,0,0,0,0,6.56,0,0,0,0,0,0,0,3.28
108-118,0,0,0.77,0,0,11.49,0,1.53,0,0,0,0,0,1.53
120,0,0,0,1.96,0,9.8,0,0,0,0,1.96,0,0,3.92
