stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,144.96,3386.73,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0
  5-6,134.85,1875.67,6.13,0,0,0,0,0,0,0,0,49.04,0,0,24.52,0,0,0,0,0,0
  7-9,18.4,13.14,18.4,0,0,39.43,0,0,28.92,0,0,470.54,13.14,165.61,0,7.89,0,0,0,0,0
 10-12,0,6.29,12.59,0,3.15,15.73,0,0,3.15,0,0,107,0,44.06,0,0,0,6.29,0,0,0
 14-21,0,0,0,6,0,1,0,1,0,1,2,12,0,0,1,0,2,0,5,12,0
 24-34,0,0,0.82,0.82,0,0,0.82,0,0,0,0,3.28,0,0,0,0,0,0,0.82,2.46,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
