stage,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,vasculature
 14-21,1,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,28,3,8
 24-34,0.82,0.82,1.64,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,4.1,0.82,28.73
 36-46,0,0,3.22,0,0,0.81,0.81,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0,8.86
 48-58,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,2.3,0.57,0,2.87
 60-70,0,0,3.93,0,0,0,0,3.93,0,0,0,0,0,0.98,0,0,8.83,0,0,6.87
 72-82,0.98,0,0.98,0.98,0,0,0,9.82,0,0,0,0,0,0.98,0,0,9.82,0,0,8.83
 84-94,2.12,0,2.12,0,0,0,0,10.62,0,0,0,1.06,1.06,0,0,0,39.3,0,0,2.12
 96-106,5.46,0,1.09,0,0,0,0,44.81,1.09,1.09,1.09,0,0,5.46,0,0,28.41,0,0,10.93
108-118,3.83,0,2.3,0,0.77,0,0,37.53,0,0,0,0,0,2.3,0,0,11.49,0,0,4.6
120,0,0,0,0,0,0,0,35.28,0,0,0,0,0,5.88,0,1.96,11.76,0,0,1.96
