stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,922.46,8644.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.61,0,0,0,0,0,0,0,0,0,0
  5-6,1011.39,8826.67,0,30.65,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0,563.93,49.04,0,0,196.15,0,514.89,0,0,0,0,0,0,0,0,0,0
  7-9,168.24,149.84,0,165.61,0,0,289.16,0,0,0,0,0,141.95,0,0,0,0,0,0,0,0,0,0,0,4248,202.41,0,0,2815.35,0,47.32,7.89,0,2.63,0,0,0,0,0,0,0
 10-12,0,81.82,0,15.73,0,3.15,314.7,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,1960.56,18.88,0,0,547.57,0,15.73,0,6.29,53.5,0,3.15,0,0,0,0,0
 14-21,1,0,0,1,117,7,27,0,0,0,2,1,3,1,0,53,0,0,0,2,29,8,0,13,493,11,2,4,29,0,161,1,158,2,43,125,0,0,2,0,1
 24-34,0,0,0,0.82,21.34,0.82,28.73,0,1.64,0,4.1,0,1.64,3.28,0.82,73.06,0,1.64,4.1,0,22.98,20.52,0,8.21,456.4,5.75,11.49,5.75,0,0,328.34,0,0.82,0.82,6.57,67.31,0,0,3.28,0,0
 36-46,0,0,0,0,13.7,0,20.14,0,7.25,0.81,3.22,0,0.81,4.03,0,37.87,0.81,2.42,1.61,0.81,22.56,8.86,0.81,4.03,207.06,7.25,7.25,2.42,0,0,456.81,0.81,0,0,0,22.56,0,0,2.42,0,0.81
 48-58,0,0,0,0,12.05,0,41.31,0.57,10.9,1.72,13.2,0.57,16.07,5.74,0,15.49,0,1.15,0,0.57,24.1,9.18,1.72,5.74,98.69,1.15,5.74,4.02,0,1.15,352.89,0,0,0,0,8.03,0,0,1.15,0,0.57
 60-70,0,0,0,0,23.56,0.98,37.3,0.98,15.7,0.98,6.87,1.96,3.93,1.96,0,24.54,0,3.93,0.98,0,20.61,11.78,4.91,1.96,44.17,3.93,0.98,0.98,0,0,414.2,0,0,0,0,5.89,1.96,1.96,2.94,0.98,0.98
 72-82,0,0,0,0,33.38,1.96,17.67,0.98,13.74,0.98,12.76,2.94,0.98,1.96,1.96,54.97,0,3.93,0.98,0,23.56,20.61,7.85,0.98,45.16,0,2.94,0.98,0,2.94,323.95,0,0,0,0,5.89,16.69,0,0.98,7.85,1.96
 84-94,0,0,0,0,67.97,0,9.56,0,40.36,0,9.56,10.62,5.31,2.12,3.19,74.34,1.06,1.06,0,0,11.68,25.49,9.56,2.12,36.11,0,2.12,3.19,0,3.19,976.01,0,0,1.06,0,1.06,33.99,1.06,0,4.25,2.12
 96-106,0,0,3.28,0,125.68,1.09,12.02,0,49.18,0,6.56,17.49,0,3.28,4.37,93.98,1.09,6.56,1.09,0,17.49,41.53,2.19,2.19,40.44,3.28,4.37,2.19,0,7.65,1183.55,0,0,1.09,0,2.19,25.14,1.09,0,18.58,0
108-118,0,0,0,0,102.64,1.53,14.55,0,65.11,0.77,2.3,23.74,0,1.53,3.06,75.83,0,11.49,1.53,0,16.85,29.87,8.43,2.3,32.17,0.77,1.53,3.06,0,3.06,772.09,0,0,0,0,0,40.6,0.77,2.3,19.92,1.53
120,0,0,0,0,68.59,0,5.88,0,50.95,0,1.96,13.72,0,0,3.92,33.32,0,11.76,1.96,0,3.92,17.64,1.96,1.96,27.44,0,0,1.96,0,3.92,442.91,0,0,0,0,0,17.64,0,0,19.6,0
