stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,28.92,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,1.64,0,3.28,0,0,0,0,0,0,0,0,0,0,62.39,1.64,0,0.82,0,0,0,13.95,0,0
 36-46,0,0,0,0.81,0,0.81,0,3.22,1.61,0,0,0,0,0,0,0,0,0.81,90.23,0,0,0.81,0,0,0,29,0,0
 48-58,0,0,0,0,0,5.74,0,4.59,1.15,0,0,0,0,0,0,0,1.15,0.57,109.6,0,0,3.44,0,0,0,21.8,0,0
 60-70,0,0,0,0,0,6.87,0,2.94,0.98,0,0,0,0,0,0,0,2.94,0,109.93,0,0,3.93,0,0,0,10.8,0,0
 72-82,0,0,0,1.96,0,16.69,0,0,4.91,0,0,0,0,0,0,0,6.87,0,235.6,0,0,2.94,0,0,0.98,11.78,0,0
 84-94,0,0,0,2.12,0,23.36,0,0,5.31,0,0,0,0,1.06,0,0,4.25,0,113.64,0,0,6.37,0,0,0,16.99,1.06,0
 96-106,0,0,0,2.19,1.09,18.58,0,0,5.46,1.09,1.09,0,0,0,0,0,1.09,0,126.77,1.09,0,4.37,0,0,0,10.93,0,3.28
108-118,0,0,0,3.06,0.77,19.92,0,0.77,3.83,0,0,0,0,0,0,0.77,3.06,0,155.49,2.3,0.77,3.06,0,0.77,0,3.83,0,0
120,0,0,0,0,1.96,19.6,1.96,0,0,1.96,0,1.96,0,0,1.96,0,1.96,1.96,211.66,0,0,1.96,0,0,0,11.76,0,0
