stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,21.03,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1,0,0,1,0
 24-34,0,0,0,2.46,0,2.46,0,0,0.82,0,0,0,0,0,0,0,0,0.82,3.28,0,0,0,0,0.82,0,0,0,1.64,0,0,0.82,0
 36-46,0,0,0,3.22,0,0,0,0,0,0.81,0,0,0,0,3.22,0,0,0,8.06,0,0,0.81,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,1.15,0,0,0,0.57,0,2.87,0,0,0.57,2.3,0.57,0.57,1.15,0,1.15,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,1.96,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0.98,0,0.98,0,1.96,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0.98,4.91,0,0,3.93,1.96,0,0.98,0.98,0,2.94,0.98,0,1.96,3.93,0,0,0.98,0,0,0,0,0,0.98,0,1.96,0,0
 84-94,0,0,0,2.12,0,3.19,0,3.19,1.06,0,0,0,0,0,5.31,0,0,0,2.12,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,4.37,0,0,1.09,2.19,0,1.09,0,1.09,4.37,1.09,1.09,1.09,4.37,0,0,2.19,0,3.28,0,0,0,0,1.09,0,0,1.09
108-118,0,0,0,3.83,1.53,2.3,0.77,0,0.77,2.3,0.77,0,0,0,3.83,1.53,0,0,6.13,0,0.77,1.53,0,3.83,0,0.77,0,0,0.77,0,0,0
120,0,0,0,9.8,0,1.96,1.96,0,0,1.96,0,1.96,0,0,5.88,0,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0
