stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,3,2,0,0,0,0,1,2,0,11,12,0,0,0,0
 24-34,0,17.24,0,4.1,0,0,0,0,0.82,0,0.82,0.82,8.21,0,0,60.74,0,0,0,0,3.28,11.49,0,2.46,22.16,0.82,0,0,0,0,0,0,4.1,2.46,0.82,3.28,0,2.46,0.82
 36-46,0,14.5,0,4.83,0.81,0,1.61,0,0,0.81,2.42,0,11.28,0,0,17.72,0,0,0,0,1.61,2.42,0,0,50.76,0,1.61,0,0,1.61,0,0,4.83,0,0,2.42,0,0,0
 48-58,0,11.48,0,11.48,0,0,4.59,0,0,1.72,2.3,0,20.08,0,0,4.59,0,0,0.57,0.57,4.02,0,0,0.57,64.27,0,0.57,0,0,1.72,0,0,3.44,0,0,6.31,0,0.57,0
 60-70,0,8.83,0,23.56,0,0,6.87,0,0.98,0.98,0.98,0.98,3.93,0,1.96,2.94,0,0,0,0,4.91,0,0,0.98,60.85,0,0,0,0,3.93,0,0,5.89,0,0,3.93,0.98,0.98,0
 72-82,0,41.23,0,23.56,0,0,29.45,0,0,0.98,10.8,10.8,0,0,21.6,2.94,0,0,0.98,0,11.78,0.98,0,0.98,141.36,0,0,0.98,0,0,0.98,0,12.76,0,0,0.98,7.85,1.96,0.98
 84-94,0,43.54,0,39.3,0,4.25,24.43,0,0,2.12,10.62,16.99,3.19,0,16.99,9.56,0,1.06,0,0,6.37,0,1.06,1.06,54.16,0,1.06,1.06,0,2.12,0,0,18.05,0,0,1.06,23.36,2.12,0
 96-106,0,48.09,0,34.97,2.19,7.65,20.76,0,3.28,0,3.28,17.49,0,0,56.83,3.28,1.09,3.28,0,0,9.84,0,0,0,68.85,0,2.19,0,0,3.28,4.37,0,22.95,0,0,4.37,73.22,4.37,1.09
108-118,0,42.89,0,22.98,1.53,6.89,19.15,0.77,1.53,0.77,11.49,15.32,0,0,63.57,3.83,0,0,0.77,0,12.26,0,0,0.77,94.98,0,0.77,1.53,0,2.3,0,0,26.81,0,0,1.53,89.62,3.83,0
120,0,37.24,0,23.52,1.96,5.88,19.6,0,1.96,0,11.76,3.92,0,1.96,74.47,1.96,0,0,5.88,0,5.88,0,0,1.96,113.67,0,0,5.88,0,1.96,1.96,0,19.6,0,0,0,19.6,3.92,1.96
