stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,4.1,0,0,0,0.82,0.82,0,0,0,0,0.82,0.82,2.46,0,0,0,88.65,0,0.82,0.82,0,0,1.64,0,0.82,0.82,19.7,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,3.22,0.81,0,0,5.64,0,0,0,0,0,0,0.81,0,0,0,0.81,175.64,0,1.61,0,0,0.81,1.61,0,0.81,0,33.03,0,0,4.83,0,0
 48-58,0,0,0,0.57,0,0,12.05,0,0,0.57,14.92,0,0,0,0,0,0.57,0,4.59,0,0,0,224.36,0,0,0,0,0,0.57,0,0,0,22.38,0,0,4.02,0,0
 60-70,0,0,0,0,0.98,0,34.35,0,0.98,0,38.28,0,0,0,0.98,0,0,0,10.8,0,0.98,1.96,599.71,0,0.98,0,0,0,1.96,0,0,0,50.06,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,0,58.9,0,0,1.96,39.27,0,0,0,0,0,0.98,0,14.72,0,0,0,619.43,0,0,1.96,0,0,1.96,0,0,0,41.23,0,0,2.94,0,0.98
 84-94,0,0,0,6.37,2.12,0,77.53,0,1.06,1.06,23.36,3.19,4.25,0,2.12,0,2.12,0,10.62,0,0,0,395.08,0,0,3.19,0,0,1.06,0,0,0,26.55,0,1.06,4.25,0,0
 96-106,0,0,0,5.46,2.19,1.09,71.04,1.09,0,1.09,26.23,0,0,0,0,1.09,1.09,0,18.58,0,1.09,2.19,377.03,0,0,1.09,0,0,2.19,0,0,0,15.3,2.19,0,3.28,0,1.09
108-118,0,0,0,1.53,0.77,0.77,49.02,0,0,0,22.21,0.77,1.53,0.77,0,0,0.77,0,4.6,0,0,0.77,352.34,0,0.77,0.77,0,0.77,0.77,0,0.77,0,9.19,0,0,2.3,0.77,0.77
120,0,0,0,11.76,0,1.96,78.39,0,1.96,0,15.68,5.88,7.84,0,1.96,0,0,0,7.84,1.96,1.96,0,448.79,0,0,0,0,0,7.84,0,0,0,17.64,0,1.96,7.84,0,0
