stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,16,0,1,1,0,0,1,0,0,8,0,0,0
 24-34,0.82,0,0,0,0,32.83,0,0,0,0.82,0,0,0.82,0,0,0,0,4.93,0,0,0,8.21,0,0,0.82,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,58.81,0,0,0,0,0,0,0,0,0.81,0,0,16.92,0,0,0,19.34,0,0,0.81,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0.57,0,0,95.83,0,0.57,1.15,0,0,0,0,0,0,0,0,20.66,0,0,0.57,36.72,0,0,0,0,0.57,0,0,0.57,4.59,0,0,0
 60-70,0,0,0,0,0,131.52,0.98,0,4.91,0,0.98,0,0,0,0,0,0.98,28.46,0,0,0,68.71,0,0,2.94,0,3.93,0,0,0,2.94,0.98,0,0
 72-82,0,0,0,0,0,126.63,0,2.94,3.93,0.98,0,0,0,0,0.98,0,0,41.23,0,0.98,0,57.92,0,0.98,4.91,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,3.19,3.19,0,219.84,0,2.12,3.19,1.06,0,1.06,0,2.12,0,0,0,30.8,0,1.06,1.06,35.05,1.06,0,4.25,0,9.56,0,1.06,0,2.12,0,1.06,0
 96-106,0,0,8.74,3.28,0,206.55,1.09,1.09,5.46,2.19,0,2.19,1.09,0,4.37,0,0,27.32,0,0,0,37.16,0,1.09,9.84,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,4.6,0,1.53,191.49,0,2.3,4.6,0.77,0,0.77,0.77,0,3.06,3.06,1.53,29.87,0.77,0,0.77,35.23,0,0.77,3.06,0.77,1.53,0,0,0,1.53,0.77,0,0.77
120,0,0,11.76,0,0,80.35,1.96,0,3.92,0,0,1.96,0,0,0,0,0,33.32,0,0,0,19.6,1.96,0,5.88,0,0,0,0,0,0,1.96,0,0
