stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.78,909.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,24.52,435.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,15,0,1,0,0,0,1,0,0,0,44,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,1,0,0,1,0,3
 24-34,0,0,0,0.82,5.75,7.39,0,3.28,0,0.82,0,0,0,0,0.82,131.34,0,4.1,0,0.82,2.46,4.93,0,0,4.1,36.12,0,0,1.64,0,0,0.82,0.82,0,9.03,0,0,32.83,0,95.22
 36-46,0,0,0,0,0.81,2.42,0,7.25,0,0,0,2.42,0,0,0,183.69,0,16.92,0,0,5.64,7.25,0,0,1.61,49.15,0,0.81,0,0,0,3.22,0.81,0.81,4.03,0,0,20.14,0,128.1
 48-58,0,0,0,0,0.57,6.89,0,16.64,0,0,0,4.02,0,0,0.57,173.86,0,25.25,0,0,0.57,6.89,0,0,0.57,44.76,0,0.57,1.15,0,0,0.57,0,0,8.61,0,0,31.56,0,111.89
 60-70,0,0,0.98,0,2.94,3.93,0,14.72,0,0.98,0.98,3.93,0,0,0,226.73,0,47.11,0,0,0.98,4.91,0,0.98,0,28.46,0,0,0,0,0,0.98,0,0,4.91,0,0,38.28,0,83.43
 72-82,0,0,0.98,0,0.98,21.6,0,16.69,1.96,0.98,0.98,4.91,0,0,0.98,398.55,0,34.36,0.98,0.98,0,26.5,0,1.96,1.96,40.25,0,0,0.98,0,0,2.94,0.98,0,0.98,0,0.98,68.72,1.96,45.16
 84-94,0,0,0,0,5.31,10.62,0,11.68,1.06,0,0,4.25,2.12,0,0,459.86,0,81.78,0,0,0,13.81,1.06,2.12,0,16.99,0,0,2.12,0,0,4.25,0,0,1.06,1.06,0,55.23,3.19,63.72
 96-106,0,0,0,0,14.21,20.76,1.09,29.51,1.09,3.28,0,8.74,5.46,0,0,604.34,4.37,68.85,3.28,8.74,0,31.69,2.19,0,1.09,45.9,2.19,2.19,1.09,0,0,14.21,0,1.09,0,1.09,1.09,107.1,8.74,60.11
108-118,0,0,0,0,9.96,17.62,3.06,13.02,0,2.3,1.53,9.96,3.06,0,0,522.39,1.53,89.62,0,0.77,0,18.38,0.77,0,2.3,39.06,0,0,2.3,0,0.77,6.13,0.77,0.77,1.53,0.77,0,81.19,3.06,56.68
120,0,0,0,0,17.64,25.48,1.96,13.72,1.96,0,0,3.92,5.88,0,0,752.56,0,50.95,3.92,3.92,0,7.84,0,0,5.88,37.24,3.92,1.96,0,0,0,1.96,0,0,0,0,0,92.11,1.96,19.6
