stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,2.63,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,78.86,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,37.76,3.15,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,2,6,0,1,0,0,0,0,2,0,0,0,22,2,2,0,1,0,1,0,1,0,1,0,15,0,0,0,0
 24-34,0,0,0.82,0.82,0,4.93,0,6.57,3.28,0,0,4.93,0,0,0,2.46,0,0,0,107.53,2.46,9.85,4.1,0,0,1.64,0,0,4.93,0,0.82,33.66,0,0,1.64,0
 36-46,0,0,0,1.61,0,45.12,0,0,3.22,0.81,0,4.03,0,0,0,1.61,0,0,0,83.79,0.81,9.67,5.64,0,0,0.81,0,0,4.83,0,0,25.78,0,0,0,0
 48-58,0,1.15,0.57,0,0,58.53,0,0,2.87,0.57,0,4.02,0,0,0,2.3,1.15,0,0.57,55.66,0,8.03,2.3,0,0,0.57,0,0,2.3,0,0,6.89,0,0.57,0,0
 60-70,0,0,0,1.96,0,72.63,0.98,1.96,7.85,5.89,0,3.93,0.98,0,0,2.94,0,1.96,0,142.32,0,9.82,2.94,0,0,0.98,0,0,0,0,0,8.83,0,11.78,0,1.96
 72-82,0,1.96,0.98,0,0,47.12,0.98,0.98,9.82,14.72,0,6.87,0,0,0,10.8,3.93,3.93,0,137.43,0,15.71,1.96,0,0,0,0,0,0.98,0,0,2.94,1.96,9.82,0.98,22.58
 84-94,0,4.25,3.19,3.19,0,24.43,2.12,0,6.37,13.81,0,8.5,0,0,0,10.62,2.12,1.06,1.06,82.84,0,15.93,3.19,0,0,1.06,0,0,4.25,0,0,2.12,5.31,10.62,0,25.49
 96-106,0,10.93,2.19,7.65,0,27.32,3.28,0,3.28,27.32,0,9.84,0,1.09,1.09,9.84,0,2.19,1.09,68.85,0,24.04,3.28,0,0,0,0,0,3.28,0,0,1.09,8.74,16.39,0,43.71
108-118,0,3.06,1.53,5.36,0,20.68,0.77,0,6.89,26.81,0,6.13,0,0.77,0,10.72,0.77,0.77,1.53,80.43,0.77,8.43,0.77,0,1.53,1.53,0,0,2.3,0,0,0,7.66,9.19,0.77,26.04
120,0,1.96,1.96,5.88,0,13.72,0,0,1.96,31.36,0,0,0,0,0,5.88,3.92,0,0,117.59,0,9.8,7.84,0,0,0,0,0,0,0,0,0,1.96,9.8,0,43.12
