stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,13.14,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0,2,0,0,5,113,0,1,1,0,0,0,1,0,2,91,0,0,0,0
 24-34,0,0,1.64,0,4.93,0.82,0.82,0,0,0,0,6.57,0,0,0.82,132.16,0,0,0,0,0,1.64,0,0.82,0.82,84.55,0,0,0,0
 36-46,0,0,0.81,0.81,1.61,0,5.64,0,0,0,0,11.28,0,0,0,71.7,0,0,0,0,0,0,0,0,0,62.04,0,0,0,0
 48-58,0,0.57,0.57,2.3,2.3,0.57,6.31,0.57,0,0,0.57,32.71,0,2.87,0.57,35.58,0,1.15,3.44,0,1.15,0.57,0,0,0,24.1,0,0,0,0
 60-70,0,0,1.96,6.87,0.98,0,21.59,0.98,0,0,0.98,45.15,0,4.91,0.98,60.85,0,1.96,2.94,0,0.98,0,0,0,0,13.74,0,1.96,0,0.98
 72-82,0,0,1.96,11.78,0.98,0,15.71,1.96,0,0,1.96,74.61,0,9.82,1.96,62.83,0,2.94,4.91,0,0,0,0,0,0,6.87,0.98,5.89,0,5.89
 84-94,0,0,3.19,15.93,1.06,0,15.93,1.06,0,0,2.12,36.11,0,1.06,0,30.8,0,2.12,7.43,0,0,0,0,0,0,4.25,3.19,0,1.06,6.37
 96-106,0,0,3.28,5.46,1.09,0,15.3,0,0,0,7.65,24.04,0,3.28,0,41.53,0,1.09,15.3,0,2.19,1.09,0,0,0,0,3.28,1.09,0,10.93
108-118,0,0,3.06,5.36,1.53,0.77,16.09,0.77,0,0.77,4.6,18.38,0,1.53,3.83,26.81,0,1.53,13.02,0,0,0.77,0,0.77,0,0,20.68,0.77,0,4.6
120,0,0,5.88,11.76,3.92,0,23.52,1.96,0,0,1.96,37.24,1.96,1.96,1.96,27.44,1.96,3.92,5.88,0,5.88,1.96,0,0,0,0,3.92,0,0,1.96
