stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,0,42.06,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,73.6,0,0,0,13.14,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,6.29,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,69.23,6.29,0,0,22.03,0,25.18,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,26,0,1,0,0,0,2,1,0,0,2,0,26,0,8,1,0,3,32,1,0,0,1,0,443,0,1,0,2,8,8,0,0,0,0,0
 24-34,0,0,0,4.93,0,4.1,0,0,0.82,0,1.64,0,0.82,2.46,0,17.24,0,5.75,4.93,0,4.1,59.92,0,1.64,0,0,0,513.86,0,0,2.46,0,1.64,9.03,0,0,0,0,0
 36-46,0,0,0,1.61,0,3.22,0.81,1.61,0.81,2.42,0,0,0,0,0,2.42,0,8.06,0.81,0,1.61,62.04,0,0,0,0,0,334.35,0,0,0,0,0,11.28,0,0,1.61,0,0.81
 48-58,0,0,0,1.72,0,13.2,0,1.72,1.15,1.72,0,0.57,0,1.72,0,0.57,0.57,18.94,1.15,0,2.3,42.46,0.57,0.57,0.57,0,0,298.95,0,0,0,0,0,6.31,0,0,0,0,1.15
 60-70,0,0,0,0,1.96,17.67,0,1.96,2.94,4.91,0,0,0,0.98,0,0,0,39.26,0,0,1.96,50.06,0.98,0,0,0,0,219.86,0,0,0,0,0,6.87,0,0,0.98,0,2.94
 72-82,0,0,0,2.94,0,13.74,0,1.96,2.94,3.93,0,0,0.98,2.94,0.98,0,0,61.84,0.98,0,2.94,28.47,0,0,0,0,0,180.63,0,0,0.98,0,0,3.93,0.98,0,0,0,1.96
 84-94,0,0,0,5.31,1.06,8.5,0,4.25,0,4.25,2.12,0,1.06,4.25,1.06,1.06,0,80.71,1.06,0,1.06,20.18,0,0,0,0,0,475.79,0,0,0,0,0,1.06,0,0,0,0,3.19
 96-106,0,0,0,2.19,2.19,8.74,0,4.37,0,4.37,2.19,0,0,1.09,0,0,0,72.13,5.46,0,1.09,16.39,0,0,0,0,1.09,316.93,0,0,0,2.19,0,0,0,0,2.19,1.09,7.65
108-118,0,0,0,6.13,0,3.83,0,8.43,1.53,3.06,2.3,0,0.77,3.06,0.77,0,0,49.02,3.83,0,1.53,17.62,0,0.77,2.3,0,0,235.92,0,0,0,0,0,1.53,0.77,0,0.77,0,6.13
120,0,0,0,3.92,0,0,0,1.96,3.92,9.8,0,0,0,0,0,0,0,64.67,1.96,1.96,1.96,9.8,0,0,1.96,0,0,141.1,0,0,0,0,0,0,0,1.96,0,0,1.96
