stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,22,5,0,17,0,0,0,1,1,3,1,0,0,0,0,0,1,13,0,0,6,150,2,3,0,2,0,3,11,0,5,19,51,0,0,1,0,0
 24-34,0,0,0.82,34.48,4.93,0,96.86,0,3.28,4.1,13.13,0.82,0,2.46,3.28,5.75,0.82,0.82,1.64,4.93,83.73,2.46,0.82,42.68,802.8,5.75,7.39,6.57,0,0,18.06,1.64,2.46,2.46,22.98,179.77,0,0,14.78,0,8.21
 36-46,0,0,0.81,34.64,6.45,0,266.68,3.22,7.25,8.86,53.98,0.81,0,5.64,1.61,4.03,1.61,0.81,3.22,8.06,153.88,1.61,0.81,53.17,1075.57,7.25,20.14,5.64,0,0.81,43.51,0.81,4.03,0,0.81,275.54,0,0,22.56,0,10.47
 48-58,0,0,0,17.79,4.59,0,333.95,2.87,7.46,12.62,75.74,1.72,0,2.87,2.3,1.72,1.15,2.3,3.44,6.31,173.29,2.3,3.44,22.95,772.34,5.16,8.03,8.03,0,0.57,21.23,0,0,1.72,0,165.83,0,0.57,11.48,0,12.62
 60-70,0,0.98,0,43.19,10.8,0,711.6,3.93,10.8,15.7,150.17,7.85,0,0.98,8.83,2.94,7.85,3.93,4.91,8.83,415.18,6.87,14.72,44.17,1274.02,6.87,7.85,19.63,0,5.89,51.04,0,2.94,2.94,0,181.58,0,4.91,34.35,0.98,13.74
 72-82,0,1.96,0,54.97,31.41,2.94,560.53,9.82,12.76,36.32,161.97,14.72,0,4.91,19.63,7.85,6.87,18.65,6.87,2.94,460.4,2.94,11.78,52.03,922.76,8.83,16.69,19.63,0,2.94,49.08,0,2.94,1.96,0,84.42,8.83,8.83,54.97,14.72,18.65
 84-94,0,3.19,2.12,106.2,24.43,6.37,374.9,5.31,13.81,18.05,100.89,22.3,2.12,4.25,28.68,11.68,11.68,10.62,7.43,6.37,338.79,7.43,21.24,28.68,433.31,11.68,11.68,24.43,0,0,138.06,0,6.37,3.19,0,39.3,4.25,9.56,27.61,14.87,8.5
 96-106,0,5.46,0,59.01,19.67,0,254.63,8.74,15.3,15.3,92.89,20.76,0,6.56,8.74,10.93,7.65,10.93,7.65,2.19,260.1,8.74,8.74,31.69,346.43,5.46,10.93,27.32,0,2.19,106.01,0,3.28,1.09,0,16.39,1.09,1.09,30.6,14.21,8.74
108-118,0,2.3,0,108.77,22.21,8.43,180,6.89,13.02,9.96,69.7,24.51,0,2.3,22.21,5.36,16.09,10.72,13.02,3.06,212.17,6.13,13.02,36.77,351.58,6.13,9.96,17.62,0,3.06,85.79,0,4.6,0,0,13.02,6.89,6.13,29.87,7.66,10.72
120,0,3.92,1.96,156.78,23.52,0,205.78,9.8,25.48,25.48,129.35,43.12,0,5.88,70.55,15.68,5.88,9.8,25.48,0,319.45,1.96,13.72,54.87,513.46,13.72,15.68,27.44,1.96,7.84,111.71,0,5.88,1.96,0,23.52,3.92,11.76,50.95,15.68,5.88
