stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,1,1,0,0,0,57,0,0,0,1,0,7,0
 24-34,0,0,0,6.57,0,0,0.82,0,0.82,0,1.64,0,0.82,207.68,0,0,0,1.64,0,56.64,0.82
 36-46,0,0,0,13.7,0,0,0,0,0,0,0.81,0,0,69.29,0,0,0,2.42,0,9.67,0
 48-58,0,0,0,26.4,0,0,0,0,0,0,0,0,0.57,19.51,0,0,0,0,0,4.02,0
 60-70,0,0.98,0,100.12,0,0,0,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0.98,0
 72-82,0,0,0,344.56,0,0.98,0.98,0,0,0,3.93,0,0,9.82,0,0,0,1.96,0,0,0.98
 84-94,0,1.06,1.06,328.17,0,0,2.12,1.06,2.12,0,0,0,0,6.37,1.06,0,0,3.19,0,0,1.06
 96-106,0,0,0,346.43,1.09,0,2.19,0,1.09,1.09,2.19,1.09,0,4.37,1.09,1.09,0,1.09,1.09,0,0
108-118,0,0.77,0,227.49,0,0,0.77,0.77,0,0,2.3,0,0.77,5.36,0,0,0,1.53,0,0.77,0.77
120,0,0,0,211.66,0,0,1.96,0,0,0,5.88,0,0,5.88,0,0,0,5.88,0,0,1.96
