stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,5,1,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,1,14,1,0,0,0,1,2,0,2,7,0,0,0,0
 24-34,0,0.82,0,2.46,0,0,5.75,0,0,0,0,0,0,0,0.82,0,0,0.82,2.46,0,0,4.93,38.58,0.82,0.82,0,0,4.1,0,0,0.82,5.75,0,0,0,0
 36-46,0,0,0,0,0,0,7.25,0,0,0,1.61,0,0,0,0,0,0,0,4.03,0,0.81,2.42,37.06,1.61,0,0,0,3.22,0,0,0,11.28,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,9.18,0,0.57,0,1.72,0,0,0,0,0,0,0,9.18,0,0,1.15,33.28,0,0,0,0,8.03,0,0,0,10.33,0,0.57,0,0
 60-70,0,0,0,1.96,0,0,19.63,0.98,2.94,0,3.93,0,0,0,0,0,0,0,8.83,0.98,0,0.98,38.28,0,0.98,0,0,1.96,0,0,0,2.94,0,0,0,0.98
 72-82,0,0,0,1.96,1.96,0,15.71,0,0.98,0.98,3.93,0.98,1.96,0,0,0.98,0,0,17.67,0.98,0,0,23.56,0,0,0,0,6.87,0,0.98,0,5.89,0,0,0,0.98
 84-94,0,0,0,2.12,0,0,13.81,0,1.06,0,4.25,0,0,0,1.06,0,0,1.06,8.5,0,0,0,13.81,1.06,0,0,0,12.74,0,0,0,0,0,4.25,1.06,1.06
 96-106,0,0,0,4.37,0,0,12.02,0,3.28,1.09,2.19,2.19,0,2.19,0,1.09,0,0,10.93,0,0,1.09,13.11,0,1.09,0,0,9.84,0,0,0,1.09,0,2.19,1.09,0
108-118,0,0,0,3.83,0,0.77,3.83,0,1.53,0,3.83,0,0.77,1.53,0,0,0,0,4.6,0.77,1.53,0,11.49,0,0,0,0.77,6.89,0,0,0,1.53,0.77,0.77,0,0
120,0,0,0,13.72,1.96,0,3.92,0,3.92,0,5.88,1.96,0,3.92,1.96,0,1.96,0,7.84,0,0,0,15.68,0,1.96,0,0,13.72,0,0,0,0,0,0,0,0
