stage,endoderm,epidermis,gut,hatching.gland,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,periderm
  7-9,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,3.22,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,1.15,2.3,0,0,0
 60-70,0,0,0,0,0,0.98,1.96,0.98,0,0,0
 72-82,0,0,0,0,0,0,5.89,0,0,0,0
 84-94,0,0,0,0,0,0,8.5,1.06,0,0,0
 96-106,0,2.19,0,0,0,0,8.74,1.09,0,1.09,1.09
108-118,0,0.77,1.53,0,0.77,0,5.36,0,0,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0
