stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1186.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,484.24,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,9.44,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,27,0,5,0,1,0,2,2,0,4,5,0,0,0,1,7,0,0,3,36,1,0,3,0,0,27,3,5,3,1,4,17,0,0,0,0,1
 24-34,0,0,0.82,0,11.49,0.82,12.31,0,0.82,0,5.75,0.82,2.46,12.31,18.88,0.82,1.64,0,9.85,12.31,3.28,0,9.03,48.43,0.82,7.39,0,0,0,128.05,0,0,0.82,0.82,1.64,11.49,0,0,15.6,0,4.1
 36-46,0,0,0,0,7.25,0,8.06,0.81,0,0,5.64,0,0,14.5,4.03,0,0.81,0,4.83,20.95,0,0,5.64,45.12,0,11.28,3.22,0,0,96.68,1.61,0,0.81,0,0,5.64,0,0,4.03,0,10.47
 48-58,0,0,0,0,6.89,0,22.95,0,1.15,2.87,13.77,0.57,1.15,23.53,2.87,2.3,2.87,0.57,5.16,14.35,1.72,1.72,3.44,19.51,1.72,4.59,0.57,0,0,50.49,0,0,0.57,0,0,10.33,0,0,3.44,0,12.62
 60-70,0,0,0,0,9.82,0,60.85,0.98,4.91,0.98,51.04,2.94,0,18.65,3.93,0.98,0,0.98,1.96,22.58,0.98,0.98,3.93,22.58,0,4.91,0,0,0.98,62.82,0,0,0,0,0,4.91,1.96,0.98,0.98,0,11.78
 72-82,0,0,0.98,0,28.47,0.98,40.25,0,4.91,1.96,75.59,18.65,0,36.32,12.76,5.89,2.94,2.94,2.94,51.05,1.96,2.94,3.93,32.39,0.98,20.61,3.93,0,0,50.06,0,0,0.98,0,0,11.78,8.83,2.94,9.82,4.91,9.82
 84-94,0,0,0,0,47.79,1.06,47.79,0,9.56,3.19,48.85,24.43,2.12,46.73,14.87,3.19,4.25,2.12,1.06,32.92,1.06,4.25,7.43,20.18,0,19.12,2.12,0,0,155.06,0,0,1.06,0,0,4.25,5.31,2.12,4.25,0,15.93
 96-106,0,0,1.09,0,68.85,3.28,42.62,0,9.84,4.37,51.36,20.76,3.28,78.68,22.95,6.56,5.46,5.46,1.09,49.18,2.19,4.37,7.65,34.97,4.37,24.04,7.65,0,2.19,125.68,0,0,0,0,0,3.28,3.28,2.19,15.3,5.46,9.84
108-118,0,0,2.3,0.77,114.89,1.53,32.94,0,23.74,0.77,49.79,28.34,2.3,57.45,6.13,6.13,0.77,5.36,3.06,50.55,3.06,4.6,5.36,36,4.6,14.55,1.53,0,0.77,94.98,0,0,0.77,0,0,0.77,13.02,0,7.66,1.53,19.92
120,0,0,0,1.96,64.67,0,19.6,1.96,13.72,3.92,27.44,31.36,5.88,62.71,1.96,0,3.92,7.84,0,35.28,7.84,7.84,3.92,27.44,1.96,9.8,1.96,0,1.96,60.75,1.96,0,3.92,0,0,3.92,3.92,1.96,9.8,0,7.84
