stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,1,0,1,0,1,1,1,0,10,0,0,0,0,0
 24-34,0,0.82,1.64,0,0.82,0,0,0.82,0,0,0,0,0,0,2.46,0,0,2.46,21.34,2.46,0.82,0,0,0,0,0.82,1.64,7.39,0,0,1.64,0,0
 36-46,0,0,0,0.81,4.83,0,0,1.61,0.81,0,0,0.81,0,0,2.42,0,0,0.81,40.28,4.03,0,0,1.61,0,0,0,0,13.7,0,0,0,0,0.81
 48-58,0,0,1.15,0,14.35,0.57,0,2.87,0,0.57,1.15,0,0,0.57,4.02,0,0,0.57,30.99,0,0,0,0.57,0,0,0,0,5.74,0,0,0.57,0,0
 60-70,0,0,1.96,0,37.3,1.96,0,5.89,0,0,0,0,0,0,4.91,0,1.96,1.96,45.15,0,0.98,0,0.98,0,0,0,0,6.87,0.98,0.98,0.98,0,0.98
 72-82,0.98,0,0,0,35.34,0,0,7.85,1.96,0,0,0,0.98,0,17.67,0,0.98,0.98,52.03,0,0.98,1.96,0.98,0,0.98,0,0,0.98,0.98,1.96,0.98,2.94,0
 84-94,1.06,0,0,1.06,15.93,1.06,1.06,5.31,2.12,0,0,0,0,0,14.87,0,0,2.12,22.3,1.06,0,1.06,0,0,0,0,0,2.12,0,1.06,0,0,0
 96-106,1.09,0,2.19,1.09,15.3,1.09,0,5.46,0,0,0,1.09,1.09,0,5.46,0,1.09,0,12.02,0,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,2.19
108-118,0,0,1.53,0.77,9.19,1.53,0.77,6.89,0,0,0,0.77,0,0.77,9.19,0,0,0,27.57,0,0,0.77,0,0,1.53,0,0,0.77,0,0,0.77,0.77,0
120,0,0,0,0,3.92,0,1.96,7.84,0,0,0,0,1.96,0,0,1.96,0,3.92,23.52,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0
