stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,28.92,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,0,0,0,0,25.18,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0
 24-34,0,0,0,0,2.46,0,0,0,0,0,0,0,12.31,0,0.82,0,0,0.82,6.57,0,0.82
 36-46,0,0,0,0,4.03,0,1.61,0,0,0,0,0,7.25,1.61,0,0,0.81,0.81,1.61,0,0.81
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,0,0,2.3,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,5.89,0,2.94,0.98,0,0,0,0,2.94,1.96,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,3.93,0,4.91,0,0.98,0,0,0,3.93,2.94,0.98,0,0,0,1.96,0,1.96
 84-94,0,0,0,0,1.06,0,1.06,0,1.06,0,0,0,1.06,1.06,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,1.09,0,1.09,1.09,0,1.09,2.19,2.19,4.37,0,0,0,1.09,0,2.19
108-118,0,0,0,0,3.06,0,3.83,0.77,0,0,2.3,0,0.77,1.53,1.53,0,0,0,0,0,0.77
120,0,0,1.96,0,3.92,0,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0
