stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,858.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,105.15,0,10.51,0,0,118.29,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,3164.97,10.51,0,0,901.65,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,78.67,0,125.88,0,0,220.29,0,0,0,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,3990.36,31.47,0,0,1123.47,0,3.15,0,0,18.88,0,3.15,12.59,0,0,0,0
 14-21,0,0,0,0,821,2,39,0,21,0,71,7,2,2,1,0,0,0,0,0,10,5,0,17,3749,16,40,27,71,0,13,0,20,1,1,33,1708,0,2,0,0
 24-34,0,0,0.82,0.82,137.9,1.64,46.79,0,100.97,0.82,95.22,2.46,0,0,0,0.82,0.82,0,0.82,0.82,15.6,4.1,0,18.06,4229.05,4.93,89.47,0.82,0,0,34.48,0,0,3.28,0,9.03,1338.82,0,4.93,0,0.82
 36-46,0,0,0,0,29,0,121.66,0.81,74.93,4.03,125.68,0.81,0,1.61,1.61,0.81,0,0,0,0.81,9.67,0.81,1.61,6.45,2993.06,2.42,42.7,3.22,0,0,41.89,0,0,1.61,0,0,1218.17,0,3.22,0,0
 48-58,0,0,0,0,16.07,0,134.84,0,94.68,4.59,229.52,0.57,0,0.57,1.15,0,0,1.15,0.57,0,14.92,0.57,0.57,5.16,1208.43,1.72,22.38,0.57,0,0,58.53,0,0,0,0.57,0,836.03,0,0,0,1.72
 60-70,0,0,0,0,5.89,0,59.87,0,76.56,3.93,164.9,0,0,0.98,0,0,0,0,0,0,7.85,0,0,0.98,451.5,0,20.61,1.96,0,0.98,82.45,0,0,0,0,0,274.83,0,0,0,0
 72-82,0,0,0,0,4.91,0,53.01,0,95.22,2.94,215.97,0,0,0,0.98,0.98,0,0,0,0,8.83,0,0,0,339.65,0.98,31.41,2.94,0,0,133.51,0,0,0,0,0,97.18,0,0,0.98,0.98
 84-94,0,0,0,0,13.81,1.06,58.41,0,181.61,0,128.51,1.06,0,1.06,1.06,0,1.06,0,0,0,9.56,2.12,0,0,189.04,1.06,39.3,2.12,0,0,266.57,0,0,0,0,0,72.22,0,0,2.12,0
 96-106,0,0,0,0,34.97,0,37.16,1.09,206.55,3.28,116.93,1.09,0,1.09,1.09,1.09,0,0,0,0,6.56,1.09,0,0,192.34,0,77.59,10.93,0,0,240.43,0,0,0,0,0,22.95,2.19,1.09,2.19,0
108-118,0,0,0,0,14.55,0,13.79,0,225.19,2.3,104.17,0.77,0,0,0,0,0.77,0,0,0,5.36,1.53,0,1.53,192.26,0,48.26,4.6,0,0,152.43,0,0,0,0,0,16.09,0.77,0,0,0
120,0,0,0,0,11.76,1.96,13.72,0,145.02,0,90.15,1.96,0,0,0,0,0,0,0,0,7.84,0,0,1.96,160.7,0,31.36,0,0,1.96,154.82,0,0,0,0,0,13.72,0,1.96,0,0
