stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,immune,mesenchyme,mucous,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,visceral.smooth.muscle
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,10.51,0,2.63,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,9.44,0,3.15,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,2.46,0,0,5.75,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,41.09,0,0,0,0,1.61,0
 48-58,0,0,0,10.9,0,0,0,1.15,0,0,72.87,0.57,0,0,0,5.74,0
 60-70,0,0,0.98,24.54,0,0.98,0,2.94,0.98,0.98,206.12,0,0,0,0,2.94,0
 72-82,0,0,1.96,31.41,0.98,2.94,0.98,0,0,0,153.14,0,0,0.98,0,6.87,0
 84-94,0,0,1.06,26.55,0,3.19,0,2.12,0,0,86.03,0,0,0,0,7.43,0
 96-106,0,0,1.09,4.37,0,1.09,0,1.09,1.09,1.09,42.62,1.09,0,0,0,0,0
108-118,0,0,0,9.19,0,2.3,0,1.53,0,0,50.55,0,0,0,0,0.77,0.77
120,0,0,0,5.88,0,3.92,0,0,0,0,54.87,0,0,0,0,1.96,0
