stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,1,120,3,0,0,0,0,0,109,0,0,0,0
 24-34,0,0,1.64,0,3.28,0,0,18.88,0,0,0,18.06,0,0,0.82,0.82,0,0,0,0.82,0.82,7.39,0.82,0,2.46,830.71,7.39,0.82,0,0,1.64,0,279.09,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,123.27,0.81,0,0,53.98,0,0,2.42,0,0,0.81,0,0,0.81,9.67,0,0,1.61,1492.91,4.03,0,0,0,1.61,0.81,399.61,0,0,0,0
 48-58,0,0,0,0,2.3,0.57,0,299.53,0.57,0,0,91.23,0.57,0,1.15,0.57,0,0,0,0,1.15,13.77,0,0,4.59,1429.35,5.16,0,0,1.15,0.57,0,367.81,0,1.15,0,1.15
 60-70,0,0,0,0,3.93,0.98,0,592.84,0,0,0.98,84.41,0,0.98,0,1.96,0,0.98,0,0,0,11.78,0,1.96,2.94,1441.86,1.96,0,0,0.98,2.94,0,220.84,0,0.98,0,2.94
 72-82,0,0,1.96,0,5.89,2.94,0,577.22,0,0,0.98,77.55,2.94,0,0,0,0,0,0.98,0,0,21.6,0.98,0.98,0,1103.39,2.94,1.96,0,0,0.98,0,75.59,0.98,0,6.87,0.98
 84-94,0,0,1.06,0,3.19,4.25,0,404.64,0,0,2.12,56.29,2.12,0,2.12,1.06,0,0,0,0,0,16.99,0,3.19,1.06,544.83,2.12,2.12,0,0,4.25,0,73.28,5.31,2.12,1.06,0
 96-106,0,0,0,0,3.28,2.19,0,240.43,0,2.19,1.09,56.83,3.28,0,1.09,1.09,0,1.09,0,1.09,0,12.02,0,2.19,1.09,390.15,1.09,2.19,0,2.19,3.28,0,18.58,0,1.09,1.09,0
108-118,0,0,1.53,0,6.13,0.77,0.77,171.58,0,0,0,28.34,0.77,0,0,1.53,0,0.77,0,0,0,5.36,0,3.06,0.77,421.28,1.53,2.3,0,2.3,2.3,0,19.15,0.77,1.53,3.06,0.77
120,0,0,1.96,0,7.84,1.96,0,166.58,0,1.96,0,45.08,1.96,0,0,5.88,3.92,0,0,0,0,17.64,0,0,1.96,511.5,1.96,3.92,0,1.96,0,0,13.72,0,1.96,7.84,0
