stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,18.4,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,60.46,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,1,11,1,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23,1,0,0,2,0,1,4,0,1,22,0,0,0,0,0
 24-34,0,0,3.28,1.64,1.64,0.82,0,2.46,0,0,0,0.82,0.82,0,0,0,0.82,0,0.82,0,0.82,0,0,286.48,1.64,7.39,0.82,0,1.64,0,0,1.64,0.82,90.29,0,0,0,0,0
 36-46,0,0,1.61,0,3.22,0,0,12.09,0,0,0,0,0,0,0.81,0,0,0,0,0,1.61,0,0,659.04,3.22,9.67,0,0,1.61,0,0,0,0,141.8,0,0,0,0,0
 48-58,0.57,0,1.72,0,3.44,0.57,0,53.36,0,0.57,0.57,12.62,0.57,0,0,0,0,0,0,0.57,4.59,0,1.15,1001.29,3.44,2.87,0,0,1.72,0,0,0,0,149.19,0,0,1.72,0,0
 60-70,0,0,0,0,3.93,0,0,167.84,0,0,0,41.22,0,0,0,0,0,0,0,0,7.85,0,0,1653.86,2.94,10.8,0.98,0,2.94,0,0,0,0,208.08,0,0,0,0,0
 72-82,0,0,2.94,0,7.85,0,0,211.06,0,0,0,39.27,0.98,0,0,0.98,0.98,0.98,0,0,12.76,0,0.98,1647.23,0,3.93,0,0,1.96,0,0,0,0,112.89,0,0.98,0.98,0,0.98
 84-94,0,0,5.31,0,11.68,0,0,145.5,0,1.06,0,29.74,2.12,0,0,1.06,0,1.06,0,0,8.5,1.06,2.12,766.79,3.19,4.25,1.06,0,6.37,0,0,0,0,54.16,0,1.06,1.06,0,0
 96-106,0,0,3.28,0,20.76,0,0,109.28,0,3.28,1.09,24.04,2.19,0,0,2.19,1.09,0,0,1.09,10.93,0,1.09,636.04,1.09,7.65,3.28,0,34.97,0,0,0,0,20.76,3.28,0,3.28,1.09,1.09
108-118,0,0,3.06,0,9.96,1.53,0.77,91.92,0.77,0.77,0,15.32,1.53,0,0,0,1.53,0,0.77,0.77,9.96,0,0,661.03,0.77,2.3,0.77,0,13.79,0,0,0.77,0,17.62,0.77,0,0,0,0
120,0,0,0,0,19.6,1.96,0,99.95,0,0,0,17.64,0,0,0,0,0,0,0,0,7.84,3.92,3.92,836.83,7.84,3.92,3.92,0,17.64,0,0,0,0,23.52,1.96,0,0,0,0
