stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,10,1,1,0,0,0,0,0,1,6,0,0,0,0
 24-34,0,0,0.82,2.46,0,3.28,0,0,1.64,0,0,0.82,0,0,0,0,2.46,0,2.46,36.94,1.64,1.64,0,0,0,0.82,0.82,1.64,9.85,0,0.82,0,0
 36-46,0,0,0,2.42,0,5.64,0,0,0.81,0,0,0,0,0,0,0,12.89,0,2.42,27.39,0,0,0,0,0,0.81,0,0,8.06,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,8.61,0.57,0.57,1.15,0,0,0,0,0,0,0.57,7.46,0,3.44,20.08,0,0.57,0.57,0,0,0,0,0,5.16,0,1.15,0,1.15
 60-70,0,0,0,0.98,0,13.74,0,0,3.93,0,0,0,0,0,0,0,10.8,0.98,0,15.7,0,0.98,0,0,0,0,0,0,1.96,0,0.98,0,0
 72-82,0,0,0,0,0.98,7.85,0,0,2.94,0,0,0.98,0,0.98,0,0,16.69,0.98,0.98,21.6,0,0.98,0,0,0,0,0,0,0.98,0,0.98,1.96,0
 84-94,0,0,0,0,1.06,5.31,0,0,3.19,1.06,1.06,0,0,0,1.06,0,4.25,0,0,4.25,0,1.06,1.06,0,0,0,1.06,0,0,1.06,0,1.06,1.06
 96-106,0,0,0,1.09,2.19,8.74,0,0,2.19,1.09,0,0,0,0,0,1.09,9.84,1.09,1.09,8.74,0,1.09,0,0,1.09,1.09,0,0,1.09,0,2.19,0,0
108-118,0,0,0,0.77,1.53,3.83,0,0,0.77,1.53,0,0.77,0.77,0.77,0,0,8.43,0,0.77,3.83,0,0,0,0,0.77,0.77,0,0,0.77,0,1.53,0,0.77
120,0,0,0,1.96,1.96,3.92,1.96,0,3.92,1.96,0,0,1.96,0,0,0,11.76,0,1.96,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0
