stage,epidermis,erythrocytes,eye,fin_epithelia,glial,ionocyte,iridophores,mesenchyme,mucous,neural,otic,periderm,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,14,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,76.34,0.82
 36-46,0,0,0.81,1.61,0,0,0,0,0,3.22,0,87.01,0.81
 48-58,0,0.57,0,0.57,0,0,0,0,0.57,1.15,0,54.51,0
 60-70,0,0,0.98,1.96,0,0,0,0,0,2.94,0,61.84,0
 72-82,0.98,0,1.96,0,0,0,0,0.98,0.98,0,0.98,70.68,0.98
 84-94,0,0,0,2.12,0,0,0,0,0,1.06,0,123.2,0
 96-106,0,0,2.19,0,0,0,0,0,0,2.19,0,107.1,0
108-118,1.53,0,0.77,0,0.77,1.53,0.77,0,0,0.77,0,79.66,0
120,3.92,0,1.96,1.96,0,0,0,0,0,0,0,54.87,0
