stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,2,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,4,8,0,0,0,0,0,3,0,0,1,1,0,0,0,0,4
 24-34,0,0,0,0,3.28,0,0,17.24,0,0.82,0,2.46,0,0.82,4.93,0,0.82,0,9.85,0.82,0.82,0,0,13.13,68.13,0,1.64,0,0,0,0,0,0,0.82,2.46,0,0,10.67,0,47.61
 36-46,0,0,0,0,2.42,0,0,19.34,0,0.81,0,6.45,0,0,4.83,6.45,0,0,12.09,2.42,0,1.61,0.81,10.47,49.95,0,1.61,0,0,0.81,0,0,0,0,8.06,0,0,18.53,0,15.31
 48-58,0.57,0,0,0,2.3,0,0,18.94,0,1.15,0,21.23,0.57,0,1.72,13.2,1.15,0,12.62,6.89,0,4.02,2.87,14.92,60.25,0,1.15,0,0.57,1.15,0,0,0,0,6.31,0,0,29.84,0,47.63
 60-70,0,0,0,0.98,13.74,0,0,16.69,2.94,8.83,1.96,9.82,0,0,0.98,31.41,4.91,0,1.96,12.76,3.93,4.91,2.94,13.74,18.65,0.98,0,0,0.98,0,0,0,0,0,1.96,2.94,0.98,22.58,0,15.7
 72-82,0,0,0.98,0,23.56,0,0,24.54,0,9.82,0.98,10.8,0,4.91,0.98,41.23,14.72,0,6.87,37.3,4.91,8.83,1.96,14.72,8.83,0.98,2.94,0,2.94,0.98,0,0,0,0,3.93,8.83,4.91,52.03,1.96,22.58
 84-94,0,0,0,0,28.68,1.06,0,35.05,1.06,10.62,4.25,10.62,0,2.12,3.19,70.09,12.74,0,7.43,21.24,3.19,6.37,0,9.56,9.56,0,2.12,0,2.12,2.12,0,0,0,0,0,31.86,1.06,32.92,2.12,20.18
 96-106,0,0,0,0,17.49,1.09,1.09,38.25,0,16.39,9.84,2.19,0,14.21,2.19,64.48,36.06,5.46,1.09,36.06,5.46,7.65,0,12.02,10.93,2.19,1.09,0,2.19,3.28,0,3.28,0,0,2.19,59.01,3.28,43.71,3.28,14.21
108-118,0,0,0,0,14.55,0,0,29.11,3.06,10.72,2.3,0,0,10.72,2.3,79.66,29.11,0.77,6.13,31.4,5.36,6.13,0.77,9.19,6.13,0,1.53,0,1.53,1.53,0,1.53,0,0,0.77,59.75,0,47.49,2.3,18.38
120,0,0,0,0,13.72,0,0,5.88,0,7.84,5.88,0,1.96,11.76,1.96,35.28,15.68,0,0,43.12,3.92,7.84,1.96,9.8,7.84,0,0,0,0,1.96,0,0,1.96,0,1.96,19.6,0,47.03,0,3.92
