stage,epidermis,eye,glial,hatching_gland,immune,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,periderm,pronephros,taste
  7-9,0,0,0,5.26,0,0,0,0,0,5.26,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,1.61,0,0,0.81,0
 48-58,0,1.15,0,0,0.57,0.57,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,1.96,0.98,0,0,0.98,0,0.98,0,0.98
 72-82,0.98,0.98,0,0,7.85,1.96,0,0,2.94,0,0,0,1.96
 84-94,0,1.06,1.06,0,4.25,0,0,0,2.12,0,0,0,3.19
 96-106,0,1.09,0,0,6.56,2.19,1.09,0,0,0,2.19,0,2.19
108-118,1.53,0.77,0.77,0,3.06,0,0,0,0,0,0,0,0.77
120,5.88,0,0,0,15.68,0,0,0,1.96,0,1.96,0,3.92
