stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,5.26,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,14.78,0.82,0,1.64,4.1,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0.81,19.34,0.81,0,0.81,5.64,0
 48-58,0,0,0,0,0,4.02,0,1.72,0,0,0,0,0,0,2.3,0,0,16.07,0,0,0,4.02,0
 60-70,0,0,0,0,0,5.89,0.98,0.98,0,0,0,0,0,0,0,0,0,21.59,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,7.85,0,3.93,0,0,0,0.98,0,0,1.96,0,0,20.61,0,0,0,1.96,0
 84-94,0,0,0,0,0,5.31,1.06,0,0,0,1.06,0,0,0,2.12,0,0,7.43,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,3.28,0,2.19,1.09,0,0,0,1.09,0,1.09,0,0,8.74,0,0,0,2.19,0
108-118,0,0,0,0,0,2.3,0,3.06,1.53,0,0,0,0,0,0,0,0,5.36,0,0,0.77,0,0
120,0,0,0,0,0,3.92,0,1.96,0,1.96,0,0,0,0,0,1.96,0,11.76,0,0,1.96,1.96,0
