stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,immune,melanocytes,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,0,0,0,2.63,7.89,0,0,0,49.95,15.77,0,63.09,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,3.15,0,0,0,15.73,0,0,28.32,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,2,0,0,3,15,1,2,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,6.45,0,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,0,0,0,0.57,0.57,0.57,0,0.57,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.12,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
