stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,4,7,1,0,11,0,0,2,2,1,0,0,0,0,0,6,0,0,7,166,2,0,2,2,0,0,7,1,1,5,37,0,0,0,0
 24-34,0.82,2.46,1.64,0.82,0,21.34,0,0.82,4.1,0,0,0,0,0,0,0,11.49,0,0,3.28,198.65,0,2.46,0.82,0,0,1.64,0,0.82,0,0.82,55,0,1.64,0,0.82
 36-46,0,0,4.03,0,0,39.48,0,0.81,10.47,0,0,0,0,0,0.81,0,9.67,0,0,4.03,214.31,0.81,0.81,0.81,0,0,1.61,0,0,0,0,58.01,0,1.61,0,1.61
 48-58,0,0,0.57,0,0,65.41,0,1.72,15.49,0,0,0,0,0,0,0,16.07,0,0.57,4.59,168.7,0,1.72,0,0,0.57,0.57,0,0,0,0,30.99,0,1.15,0,0.57
 60-70,0,0,1.96,0,0,96.19,0,0.98,22.58,0,0,0,0.98,0.98,0,0,14.72,0,1.96,0,201.21,0,0,0,0,0,0,0,0,0,0,13.74,0,0,0,0
 72-82,0,0,2.94,0,0,72.64,0,0.98,14.72,0,0,0,0,0,0,0,23.56,0.98,1.96,4.91,147.25,0,0.98,0,0,0,0.98,0,0,0,0,12.76,0,0.98,0.98,1.96
 84-94,0,0,3.19,0,0,42.48,0,1.06,6.37,3.19,0,0,0,2.12,0,1.06,14.87,0,0,4.25,70.09,0,0,1.06,0,0,1.06,0,0,0,0,5.31,1.06,1.06,0,0
 96-106,0,0,1.09,0,0,38.25,1.09,0,4.37,1.09,0,0,0,0,0,0,7.65,0,0,3.28,59.01,0,0,1.09,0,0,2.19,0,0,0,0,2.19,0,2.19,0,0
108-118,0,0,2.3,0,1.53,29.11,0.77,1.53,7.66,0,0,0.77,0,0,0,0.77,10.72,0,0,4.6,75.06,0,1.53,2.3,0,0,1.53,0,0,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,21.56,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0,0,50.95,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0
