stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,803.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,373.91,1581.45,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,98.07,6.13,0,0,36.78,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,152.47,55.2,55.2,0,2.63,63.09,0,0,0,0,0,57.83,0,0,0,0,0,0,0,0,0,0,791.24,115.66,0,0,828.04,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,25.18,0,0,47.2,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,591.63,56.65,0,0,368.2,0,0,6.29,0,31.47,0,22.03,0,0,0,0,0,0
 14-21,0,0,4,31,7,9,0,1,0,8,7,0,5,0,0,0,0,0,0,25,0,22,290,11,0,7,5,0,1,3,50,16,52,146,112,0,0,2,0,0
 24-34,0,0,0.82,11.49,0.82,17.24,1.64,1.64,0,13.13,0.82,0,1.64,0,0.82,0,0,0,0.82,42.68,0,27.09,453.93,3.28,2.46,3.28,0,0,1.64,0,0,1.64,3.28,24.63,123.13,0,0,4.1,0,0
 36-46,0,0,0,4.83,0,27.39,11.28,0.81,2.42,38.67,1.61,0,0.81,0,0,0,0.81,0,0,62.04,0.81,17.72,434.26,0,0.81,11.28,0,0,0,0.81,0,0,1.61,0,124.88,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,41.31,20.08,0,3.44,45.33,0,0,1.15,0,0.57,0,1.15,0,0,79.76,0,16.64,160.09,0.57,0,2.3,0.57,0.57,0,0,0,0,1.72,0,78.04,0,0.57,0,0,0
 60-70,0,0,0,5.89,0,38.28,24.54,0,0.98,36.32,0,0,0.98,0,0,1.96,0.98,0,0,59.87,1.96,9.82,68.71,0,0,2.94,0,0.98,0.98,0,0,0,4.91,0,28.46,0,2.94,0,0,0.98
 72-82,0,0,0,4.91,0.98,23.56,14.72,0,4.91,20.61,0,0,0,0,0.98,0,0,0,0,39.27,3.93,5.89,46.14,0,0,0.98,0,1.96,0,0,0,0,1.96,0,4.91,0,1.96,1.96,0,1.96
 84-94,0,0,0,1.06,0,29.74,24.43,0,2.12,7.43,0,1.06,0,0,0,0,2.12,0,0,26.55,1.06,9.56,28.68,0,1.06,3.19,0,0,4.25,0,0,1.06,3.19,0,4.25,1.06,2.12,2.12,1.06,1.06
 96-106,0,0,0,0,1.09,24.04,29.51,1.09,0,13.11,0,0,0,1.09,1.09,0,0,1.09,0,21.86,2.19,4.37,14.21,0,0,2.19,1.09,0,4.37,0,0,0,5.46,0,1.09,1.09,0,0,0,2.19
108-118,0,0,0,3.06,0,16.09,29.11,1.53,0,5.36,0.77,0,0.77,1.53,0,0.77,0,0,0,17.62,0.77,10.72,31.4,0,0,0.77,0,1.53,0.77,0,0,0,3.83,0,3.06,0.77,0,0,0,0.77
120,0,0,0,0,1.96,11.76,27.44,0,1.96,7.84,0,0,0,1.96,0,0,1.96,0,0,7.84,0,5.88,25.48,1.96,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0
