stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,7.89,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,6.29,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,24,11,0,8,0,0,2,2,0,0,0,0,0,0,0,0,8,0,0,7,120,55,0,0,10,8,7,0,2,15,41,0,0,6,0,0
 24-34,0,0,0.82,0.82,7.39,3.28,0,3.28,0.82,0,0.82,0,0.82,0.82,0,0.82,0,0,0.82,0,4.93,0,0,3.28,87.83,7.39,2.46,0,0,3.28,0,0,0,0,12.31,0,0,16.42,0,0
 36-46,0,0,0,0,5.64,0,0,8.06,1.61,0.81,4.03,2.42,0,1.61,0,0,0.81,0.81,0,0,17.72,0.81,1.61,5.64,97.49,5.64,8.06,2.42,0,4.03,0,0,0,0,33.03,0,0,3.22,0,0
 48-58,0,0,0.57,0,4.02,0,0,7.46,0.57,0.57,1.72,0,2.87,0,0,0,0.57,0.57,0,0,10.33,0,0,0.57,43.61,0.57,3.44,1.72,0,1.72,0,0,0,0,20.66,0,0,2.87,0,0
 60-70,0,0,3.93,0,3.93,0,0,70.67,0.98,0,3.93,0.98,0,0,2.94,1.96,0.98,1.96,0,0.98,46.13,1.96,5.89,2.94,122.69,2.94,5.89,1.96,0,6.87,0,0,0,0,37.3,0,0.98,9.82,0.98,1.96
 72-82,0,0,1.96,0,6.87,21.6,0,76.57,0,0.98,13.74,1.96,2.94,1.96,1.96,0.98,0.98,0,0,0,28.47,0.98,1.96,2.94,169.83,0,8.83,0.98,0,9.82,0,0.98,0,0,35.34,0,0,7.85,1.96,0
 84-94,0,0,0,0,4.25,13.81,0,47.79,1.06,0,2.12,2.12,4.25,2.12,6.37,1.06,3.19,0,0,0,16.99,0,1.06,2.12,67.97,1.06,6.37,0,0,25.49,0,0,0,0,21.24,0,0,10.62,0,2.12
 96-106,0,0,1.09,0,14.21,19.67,0,39.34,1.09,1.09,12.02,3.28,1.09,1.09,8.74,2.19,2.19,1.09,0,0,26.23,3.28,1.09,3.28,75.41,0,6.56,1.09,1.09,38.25,0,0,0,0,12.02,1.09,1.09,8.74,5.46,0
108-118,0,0,1.53,0,6.89,19.92,0.77,32.17,3.06,0,9.19,1.53,0,0.77,7.66,1.53,1.53,0.77,0.77,0,19.92,2.3,2.3,3.83,110.3,3.06,5.36,0.77,0,19.92,0,0.77,0,0,9.96,4.6,0,5.36,0.77,0.77
120,0,0,0,0,13.72,9.8,0,27.44,3.92,0,7.84,3.92,0,0,3.92,0,1.96,1.96,1.96,0,27.44,1.96,1.96,1.96,135.23,0,1.96,0,0,21.56,0,0,0,0,3.92,1.96,0,9.8,1.96,0
