stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,13.18,698.43,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,12.26,686.52,6.13,0,0,0,0,0,0,0,24.52,0,0,0,24.52,0,0,0
  7-9,13.14,13.14,10.51,0,0,97.26,0,0,36.8,0,549.4,23.66,0,165.61,0,0,0,0
 10-12,0,25.18,31.47,0,6.29,72.38,0,0,12.59,0,424.84,3.15,0,160.5,0,18.88,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,3.28,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,1.15,0.57,0,0,2.87,1.15,0,0,0,0.57,0,0,0.57
 60-70,0,0,0,0,0,1.96,0,0,0,0.98,1.96,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,2.19,0,1.09,0,5.46,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,1.96,0,0,0
