stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,50.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,6,55,49,0,0,0,0,1,1,1,0,0,0,3,0,5,0,0,0,25,0,2,0,0,16,1,0,0,0,0
 24-34,0,0,2.46,3.28,0,0,0,0.82,0,2.46,0,0,0,6.57,2.46,0,1.64,0,0,0,18.06,1.64,14.78,0,0,4.93,0,0,1.64,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,4.83,0.81,0,0,0,0,0,15.31,3.22,7.25,0,0.81,1.61,0,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,3.44,0.57,0.57,0.57,0.57,0.57,0,9.75,1.72,8.61,0,0.57,0.57,0,0,0,0,0
 60-70,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,9.82,0,0,0.98,0.98,0,0,6.87,0.98,14.72,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,21.6,0,0,1.96,0,0,0,8.83,0.98,35.34,0,0,0,0,0,0,0,0
 84-94,1.06,0,2.12,0,0,1.06,2.12,2.12,0,0,0,0,0,31.86,2.12,0,1.06,0,0,1.06,4.25,4.25,53.1,0,4.25,2.12,0,0,0,0,1.06
 96-106,1.09,0,0,0,0,4.37,0,0,0,0,0,0,0,63.39,4.37,0,2.19,0,1.09,0,7.65,3.28,67.76,0,7.65,0,0,0,0,1.09,0
108-118,0.77,0,3.06,0.77,0,0.77,1.53,0.77,0.77,0.77,0,0,0.77,42.13,2.3,0,2.3,0,0,2.3,9.96,1.53,46.72,0.77,2.3,1.53,0,0.77,0,0,0
120,0,0,1.96,0,1.96,1.96,5.88,0,0,1.96,0,0,0,35.28,0,0,1.96,0,1.96,0,15.68,3.92,62.71,0,5.88,0,0,0,1.96,0,0
