stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,23,3,0,1,2,0,2,0,0,0,0,4,0,0,1,1,3,0,0,4,8,8,0,0,0,4,1,4,4,0,0,1,0,0
 24-34,0,0,0,11.49,0.82,0,1.64,3.28,0.82,0,0,0,0.82,0.82,3.28,0,0.82,0,3.28,4.93,2.46,0.82,5.75,19.7,0.82,2.46,0,0,21.34,0,0.82,3.28,0,0,11.49,0,1.64
 36-46,0,0,0,4.03,0,0,3.22,0.81,4.03,8.06,0,0,0,0,2.42,0,0.81,0,0.81,14.5,2.42,0,2.42,28.2,2.42,1.61,0,0,19.34,0,0,6.45,0,0,4.03,0,0
 48-58,0,0,0,2.87,0,0,10.33,1.72,1.72,5.74,0,0,0.57,1.15,0.57,0,0,0,1.15,20.08,4.59,0,2.3,10.9,1.15,1.72,0.57,0,19.51,0,0,2.3,0,0,1.15,0,1.15
 60-70,0.98,0,0,3.93,0.98,0,9.82,2.94,1.96,18.65,0.98,0,0.98,1.96,0,0,0,0,0,38.28,1.96,0,0.98,10.8,0,0.98,0.98,0.98,10.8,0,0,2.94,0,0.98,0.98,0,0.98
 72-82,0,0,2.94,5.89,2.94,0,5.89,1.96,2.94,14.72,3.93,0,0.98,1.96,0,0,0.98,1.96,0,41.23,1.96,1.96,0,12.76,0,1.96,1.96,0,13.74,0,0,2.94,1.96,0.98,2.94,0,0.98
 84-94,0,0,0,13.81,1.06,0,13.81,1.06,3.19,16.99,8.5,0,0,6.37,3.19,1.06,1.06,0,0,31.86,5.31,0,1.06,11.68,1.06,3.19,4.25,0,31.86,0,0,0,1.06,0,6.37,0,0
 96-106,0,0,3.28,6.56,1.09,0,12.02,1.09,0,14.21,8.74,0,0,9.84,6.56,4.37,3.28,1.09,1.09,28.41,4.37,0,2.19,8.74,0,3.28,5.46,2.19,18.58,0,0,1.09,3.28,1.09,3.28,0,0
108-118,0,0,1.53,13.79,0,3.83,3.83,2.3,0,11.49,10.72,0,0.77,7.66,3.83,1.53,0.77,0.77,1.53,20.68,1.53,1.53,3.06,9.19,1.53,2.3,0.77,1.53,14.55,0,0,0,3.06,0,3.83,0,1.53
120,0,0,3.92,15.68,3.92,0,7.84,3.92,0,11.76,7.84,0,0,5.88,0,0,1.96,0,0,9.8,3.92,3.92,1.96,13.72,3.92,3.92,1.96,0,21.56,0,0,0,0,0,1.96,1.96,1.96
