stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,5.26,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,144.58,0,0,0,60.46,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,3.15,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.29,3.15,0,0,66.09,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,21,8,16,0,0,7,2,0,1,0,0,0,0,0,0,20,0,10,279,2,1,1,1,0,4,0,21,1,12,66,0,0,13,0,0
 24-34,0,0.82,1.64,12.31,0.82,59.92,0,0,8.21,0,0.82,2.46,0.82,0,0,0,0,2.46,55,0.82,14.78,366.92,2.46,0.82,1.64,0,0,1.64,0.82,0.82,0,1.64,89.47,0,0,121.49,0,0.82
 36-46,0,0,0,6.45,0,69.29,0.81,0.81,12.09,0,0,4.03,0,0,0,0,0,0,45.12,0.81,10.47,220.75,0.81,0,0.81,0,0,0,0,0,0,0,51.56,0,0,118.43,0,0
 48-58,0,0,0,3.44,0,68.86,0,1.72,9.75,0.57,0,11.48,0,0,0.57,0.57,1.15,0,44.18,3.44,8.03,78.61,0,0,0.57,0,0,0,0,0,0,0,12.62,0,0,134.84,0,0.57
 60-70,0,0,0,5.89,0.98,74.6,0,0.98,22.58,0.98,0,7.85,0,0,0.98,0.98,0.98,0,63.8,3.93,3.93,57.91,0,0,0,0,0,0.98,0,0,0,0,7.85,0,0,132.51,0,0
 72-82,0,0,0,0,0,24.54,0,0,13.74,1.96,0,12.76,1.96,0,0.98,0,0,0,84.42,4.91,15.71,44.17,0,1.96,0.98,0,0.98,0.98,0,0,0,0,1.96,0,0,279.77,2.94,0
 84-94,0,0,0,4.25,0,29.74,0,3.19,13.81,0,0,8.5,1.06,0,0,0,1.06,0,45.67,3.19,6.37,21.24,0,0,1.06,0,1.06,0,0,0,0,0,1.06,0,1.06,233.65,0,0
 96-106,0,0,0,3.28,2.19,24.04,0,1.09,8.74,1.09,0,18.58,1.09,0,0,1.09,2.19,0,34.97,1.09,7.65,39.34,0,0,2.19,0,0,1.09,0,0,2.19,0,0,0,0,313.65,1.09,0
108-118,0.77,0,0,6.13,0,13.02,1.53,0.77,6.13,0,0,4.6,1.53,0,0,0,3.06,0,32.94,1.53,6.13,36,0.77,0.77,0,0,0,0,0,0,2.3,0,0,0.77,0.77,228.26,0,0
120,0,0,0,13.72,0,5.88,1.96,1.96,7.84,0,0,9.8,0,3.92,0,1.96,0,0,25.48,0,0,39.2,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,0,254.77,0,0
