stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,0,4,71,49,61,0,1,0,6,9,0,5,7,14,0,0,3,13,77,0,0,64,301,25,1,1,25,0,0,129,5,39,227,112,0,0,17,0,17
 24-34,0,2.46,0.82,11.49,19.7,87.01,0,10.67,3.28,7.39,0,0.82,4.1,8.21,32.01,2.46,1.64,4.1,38.58,73.06,3.28,0,54.18,174.84,6.57,1.64,4.93,0,0,0.82,0,5.75,0.82,50.89,71.41,0,0,84.55,0,23.8
 36-46,0,0,0,6.45,10.47,59.62,0,0.81,8.06,10.47,0,0,5.64,19.34,4.83,4.03,3.22,0.81,15.31,99.1,1.61,0.81,39.48,97.49,3.22,1.61,0,0,0.81,1.61,0,4.03,0.81,0.81,24.98,0,0.81,50.76,0,12.89
 48-58,0,0,0,3.44,16.07,60.82,0.57,5.74,12.05,10.9,0,0.57,3.44,17.79,2.87,5.16,1.72,0,10.33,111.32,1.15,2.87,36.72,57.38,1.72,2.3,0.57,0,1.15,0.57,0,3.44,1.15,0,14.92,0,0.57,39.02,0,8.03
 60-70,0,0.98,0,1.96,20.61,60.85,1.96,3.93,11.78,50.06,0.98,0,2.94,21.59,2.94,1.96,1.96,0.98,0.98,200.23,0,5.89,28.46,71.65,0,0,0.98,0,0.98,0,0.98,7.85,0,0,9.82,0,2.94,21.59,0.98,3.93
 72-82,0,0.98,0,5.89,28.47,46.14,0.98,4.91,29.45,64.79,0.98,0,3.93,35.34,9.82,2.94,2.94,0,2.94,298.43,4.91,12.76,38.28,71.66,0.98,0.98,5.89,0,6.87,0.98,0,25.52,0.98,0,6.87,1.96,10.8,55.95,3.93,1.96
 84-94,1.06,0,0,24.43,36.11,81.78,4.25,12.74,18.05,49.92,5.31,2.12,7.43,47.79,16.99,11.68,2.12,0,4.25,203.91,3.19,15.93,39.3,48.85,0,1.06,11.68,0,3.19,1.06,0,50.98,1.06,0,5.31,0,5.31,47.79,4.25,1.06
 96-106,0,1.09,0,22.95,20.76,36.06,2.19,20.76,15.3,53.55,7.65,0,4.37,56.83,24.04,9.84,2.19,4.37,5.46,245.89,6.56,18.58,32.79,54.64,1.09,2.19,16.39,0,9.84,3.28,0,57.92,0,0,1.09,1.09,7.65,72.13,7.65,3.28
108-118,0,0.77,0,24.51,26.04,43.66,0.77,24.51,9.19,53.62,7.66,0,3.06,39.83,22.98,16.85,4.6,1.53,3.06,191.49,2.3,12.26,36.77,51.32,3.06,2.3,8.43,0,8.43,3.83,0,51.32,0,0,0.77,0.77,6.13,49.02,3.83,5.36
120,0,0,0,19.6,17.64,21.56,0,25.48,7.84,31.36,7.84,0,0,45.08,9.8,21.56,3.92,0,1.96,103.87,0,13.72,23.52,39.2,1.96,0,5.88,0,7.84,7.84,0,21.56,0,0,7.84,1.96,5.88,21.56,1.96,1.96
