stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,116.46,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,5.26,23.66,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,57.83,15.77,0,0,162.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,28.32,34.62,0,0,270.64,0,6.29,15.73,0,3.15,0,0,0,0,0
 14-21,0,0,3,23,37,2,0,0,0,1,5,6,1,0,1,0,4,22,0,0,32,55,46,2,0,22,7,460,13,33,264,27,0,1,0,0
 24-34,0,0,0,2.46,0,2.46,0,0.82,2.46,0,0,1.64,0,0,0,0,0,4.1,0,0,4.1,33.66,2.46,0.82,0.82,0,9.03,0,1.64,0,12.31,13.13,0,3.28,0,0.82
 36-46,0,0,0,0,0.81,4.83,1.61,0,0,3.22,0,0,0,0,0,0.81,0,4.83,0,0,0,17.72,0,3.22,0,0,4.03,0,0,0.81,0,6.45,0,2.42,0,1.61
 48-58,0,0,0,0,0,5.16,1.72,0,0,0.57,0,0,0,0.57,0,0.57,0.57,3.44,0,0,0,13.77,0,1.15,0,0,1.72,0,0,0.57,0,1.15,0,2.3,0,0
 60-70,0,0,0,0,0,7.85,0.98,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,4.91,0,2.94,0.98,0,3.93,0,0,0,0,2.94,0,1.96,0,0.98
 72-82,0,0,0,0.98,0,4.91,0,0,0,0.98,0,0,0,0,0,0,0,8.83,0,2.94,0,12.76,0,0.98,0,0,2.94,0,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,1.06,0,3.19,0,0,0,0,2.12,0,0,0,0,0,0,3.19,0,0,0,7.43,0,1.06,2.12,0,4.25,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,0,0,0,2.19,1.09,0,0,1.09,0,0,0,0,0,0,0,8.74,0,0,0,7.65,0,5.46,0,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,1.53,0,0,5.36,0.77,0.77,0,0.77,0,0,0,0,0,0.77,0,1.53,0.77,0,0,9.19,0,1.53,0.77,0,0.77,0,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,1.96,9.8,0,0,0,3.92,0,0,0,0,0,0,0,1.96,0,0,0,17.64,0,5.88,1.96,0,1.96,0,0,0,0,0,0,0,0,0
