stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,8,0,0,0,0,0,0,2,10,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0.82,4.93,0.82,0,0,0,0,0,4.93,42.68,0,0,0,0,0.82,0,0,1.64,1.64,8.21,0,0.82,0,0,0,0,0,0,0,0,8.21,0,0
 36-46,0,0,0,0,1.61,0,0,0.81,0,0,7.25,40.28,0,0,0.81,0,4.03,0,0.81,1.61,0.81,2.42,0,0,0,0,0,0,0,0,0,0.81,15.31,0.81,0
 48-58,0,0,0.57,0.57,1.72,0,0,0.57,1.72,0,1.72,37.87,0,0,0,0,6.31,0,2.3,0,3.44,3.44,0,0,0,1.72,0,0,0,0,0.57,3.44,12.05,0.57,0
 60-70,0,0,0,2.94,3.93,0.98,0,0,1.96,0,4.91,38.28,0.98,0,0.98,0,31.41,0,37.3,2.94,3.93,0,0,0,0,11.78,0,0,0,0,1.96,32.39,22.58,30.43,0
 72-82,0,0,0.98,7.85,25.52,0,0,2.94,8.83,0.98,0.98,65.77,0,0.98,0,0,48.1,0,55.95,1.96,27.49,0,0,0.98,0,11.78,2.94,0,0,0,2.94,83.44,49.08,105.04,0
 84-94,0,0,0,6.37,40.36,1.06,1.06,0,4.25,0,0,73.28,0,0,0,1.06,42.48,0,54.16,1.06,16.99,0,1.06,2.12,0,10.62,1.06,0,0,0,0,79.65,54.16,124.26,0
 96-106,0,0,5.46,9.84,22.95,0,1.09,0,1.09,2.19,2.19,96.17,0,2.19,4.37,1.09,79.78,0,36.06,9.84,30.6,0,0,1.09,0,30.6,8.74,0,0,0,0,80.87,76.5,151.91,1.09
108-118,0.77,0,4.6,5.36,21.45,0,2.3,3.06,5.36,2.3,0,88.09,0.77,0,3.06,0,68.94,0.77,30.64,3.83,18.38,0.77,0.77,0,0,28.34,3.06,0,1.53,0.77,0.77,62.81,49.02,104.17,0.77
120,0,0,3.92,7.84,11.76,1.96,0,1.96,1.96,1.96,0,88.19,0,0,3.92,0,58.79,0,25.48,7.84,23.52,1.96,0,0,0,31.36,5.88,0,0,0,0,58.79,47.03,150.9,1.96
