stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,197.67,1686.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0
  5-6,85.81,1054.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,12.26,24.52,0,0,0,0,0,0
  7-9,7.89,2.63,0,15.77,0,0,42.06,0,0,0,0,7.89,0,0,0,0,0,233.96,7.89,0,78.86,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,15.73,0,0,0,0,9.44,0,0,0,0,0,103.85,3.15,0,28.32,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,2,0,7,0,0,0,2,0,1,0,1,4,2
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,21.34,0,0,0,0,0,0,0.82,0.82,2.46,0.82
 36-46,0,0,0,0,0,0,2.42,0,0,2.42,0,0,0.81,0,0,1.61,0,19.34,0.81,0,0,1.61,0,0,0,0,4.83,0
 48-58,0,0,0,0,0,0,2.3,0.57,0,0.57,0,0,0,0,0.57,0.57,0,5.16,0,0,0,0,0,0,0.57,0,3.44,0.57
 60-70,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,2.94,0,0,0,0.98,0,0,0,0,0.98,0,5.89,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,0,0,0,0.77,0.77,0,0,0,0,1.53,0,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0
