stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,0,0.57,0,0,0.57,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.12,0,0,1.06,3.19,1.06,0,0,0
 96-106,1.09,1.09,0,0,0,0,1.09,2.19,0,0,1.09,1.09,1.09,2.19,0,0,1.09
108-118,0.77,0,0.77,0,0,0,0.77,0.77,0,0,0,1.53,2.3,0,0,0,0
120,3.92,0,0,1.96,0,1.96,0,0,0,0,3.92,1.96,0,0,0,0,0
