stage,blastomeres,eye,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,5.75,0,0,0,1.64
 36-46,0,1.61,0,1.61,0,0.81,0,3.22,0,0,0,0.81
 48-58,0,4.02,0,1.72,0,0,0.57,4.59,0,0,0,0.57
 60-70,0,3.93,0,0,0.98,0,0,2.94,0,0,0,0.98
 72-82,0,1.96,0,0.98,0,0.98,0.98,4.91,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,4.25,0,1.06,0,0
 96-106,0,1.09,1.09,0,0,1.09,0,3.28,1.09,0,0,0
108-118,0,4.6,0,0,0,1.53,0,3.83,0,0,0,0
120,0,1.96,0,0,0,0,0,1.96,0,0,0,0
