stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,79.07,1502.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,61.3,937.83,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,23.66,0,0,0,23.66,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,265.5,0,0,0,60.46,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,15.73,3.15,0,3.15,0,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.05,0,0,0,91.26,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,9,34,17,0,41,0,0,0,6,2,0,0,0,4,0,0,0,0,34,0,0,33,818,5,2,2,11,0,10,2,45,1,0,47,175,0,3,0
 24-34,0,0,0,20.52,5.75,0,160.89,0.82,0,1.64,14.78,1.64,0,1.64,1.64,0.82,0.82,3.28,0.82,0,87.83,0,0.82,35.3,1078.6,0.82,3.28,6.57,0,0.82,16.42,0,0.82,2.46,0,4.1,178.13,0,10.67,2.46
 36-46,0,0,0,8.06,2.42,0,270.7,0.81,0,0,20.95,0.81,0,1.61,2.42,0,1.61,0.81,0,0,53.98,0,2.42,23.36,708.18,0,2.42,3.22,0,0,2.42,0,0,1.61,0,0,144.21,0,4.03,1.61
 48-58,0,0,0,5.16,1.72,0,167.55,0,0,1.15,12.62,0.57,0,0.57,0.57,0,0.57,0.57,0,0,59.1,0,2.3,10.33,265.1,0,0.57,4.59,0,0.57,2.3,0.57,0,0,0,0,31.56,0,6.31,2.87
 60-70,0,0,0,11.78,0,0,123.67,0,0.98,0,18.65,1.96,0,0,0.98,0.98,0,0.98,0.98,0.98,35.33,0,1.96,5.89,164.9,0,0.98,6.87,0,0,1.96,0,0,0,0,0,9.82,0,4.91,0.98
 72-82,0,0,0,6.87,0,0,47.12,0,0,0.98,32.39,2.94,0,0,0,1.96,0,0,0,0,59.88,0,0,12.76,160.01,0,1.96,3.93,0,0,0,0,0,0.98,0.98,0,6.87,0.98,0.98,0.98
 84-94,0,0,0,16.99,5.31,1.06,54.16,0,1.06,1.06,13.81,4.25,0,0,3.19,1.06,2.12,0,2.12,1.06,45.67,0,3.19,12.74,117.89,2.12,1.06,5.31,0,0,10.62,0,0,4.25,0,0,6.37,1.06,5.31,0
 96-106,0,0,1.09,8.74,4.37,2.19,61.2,0,0,1.09,20.76,2.19,0,0,6.56,1.09,2.19,0,0,0,34.97,1.09,3.28,5.46,64.48,1.09,1.09,3.28,0,0,5.46,0,0,1.09,0,0,0,2.19,5.46,2.19
108-118,0,0,0,16.85,4.6,0.77,39.06,0,0.77,1.53,14.55,3.83,0,0,6.89,0,0,0.77,0.77,0,23.74,0,0,9.19,126.38,0,3.06,4.6,0,0,5.36,0,0,0,0.77,0,2.3,1.53,5.36,0
120,0,0,0,15.68,17.64,1.96,54.87,0,1.96,1.96,23.52,0,0,1.96,15.68,0,3.92,0,1.96,0,19.6,0,3.92,9.8,127.39,1.96,0,1.96,0,0,0,0,0,0,0,0,3.92,0,5.88,1.96
