stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,12.26,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,21.03,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,76.23,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,6.29,3.15,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,176.23,0,0,0,44.06,0,0,9.44,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,6,14,11,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,30,0,0,1,1,0,0,3,3,0,14,6,0,0,1,0
 24-34,0,0,0,4.1,0,13.13,0,0.82,0.82,0,0,0,0.82,0,0,0,0,0,9.03,0.82,0,2.46,45.97,0,0,0,0,0,1.64,0,0,0.82,2.46,8.21,0,0,5.75,0
 36-46,0,0,0,1.61,0,3.22,0,0,0.81,3.22,0,0,0,0,0,0.81,0,0.81,13.7,0,0,1.61,33.03,0,0.81,2.42,0,0,5.64,0.81,0,0,0,3.22,0,0,0.81,0
 48-58,0,0,0.57,2.87,0,8.03,0,0,0.57,3.44,1.15,0,0,0,0,0.57,0,0,16.07,0,0.57,1.72,14.92,0,0.57,1.15,0,0,2.87,0.57,0,0,0,1.72,0,0,0.57,0.57
 60-70,0,0,0,3.93,0,41.22,0,0,0,6.87,0.98,0,0,0,0.98,0,0,0,24.54,0,1.96,1.96,12.76,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,2.94,0,149.21,0,0,0.98,3.93,0,0,0,2.94,0,0,0,0,16.69,0.98,0,2.94,8.83,0,0,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0
 84-94,0,0,0,1.06,0,133.82,1.06,0,1.06,1.06,5.31,0,1.06,2.12,0,0,0,0,10.62,1.06,0,4.25,8.5,1.06,0,2.12,0,0,6.37,0,0,0,0,0,2.12,0,0,2.12
 96-106,0,0,0,3.28,1.09,96.17,0,0,1.09,0,1.09,0,1.09,1.09,0,0,0,0,12.02,0,0,2.19,4.37,0,0,0,0,0,6.56,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0.77,73.53,0,0.77,0.77,1.53,1.53,0,0,3.83,0,0,0,0,4.6,0,0,1.53,6.13,0,0,0.77,0,0.77,4.6,0,0,0.77,0,0,0,0,1.53,0
120,0,0,0,1.96,3.92,137.18,0,0,0,5.88,0,0,0,3.92,0,0,1.96,1.96,1.96,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0
