stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,6.29,0,0,6.29,0,0,0,0,0,0,0,0,75.53,9.44,0,0,9.44,0,0,0,3.15,0,0,0,0
 14-21,0,2,8,4,56,0,1,0,1,0,0,0,2,5,16,6,137,0,0,0,0,0,0,3,0,6,28,0,6
 24-34,0,0,0,13.13,9.03,0,0,0,0.82,0,0.82,0.82,0.82,24.63,7.39,0.82,18.88,0,0.82,0,0,0,0,0,0,0.82,11.49,0,10.67
 36-46,0,0,0,5.64,0.81,0,0,0,0,0,0,0.81,0,27.39,2.42,0,6.45,0.81,0,0,0,0,0.81,0,0,0,1.61,0.81,0
 48-58,0,0,0,5.74,1.15,0.57,0,0,0,0,0,3.44,0.57,12.62,0.57,0,5.74,0,0,0.57,0,0,0,0,0,0,4.02,0,0
 60-70,0,0,1.96,2.94,1.96,0,0,0,0,0,0,7.85,0,4.91,0,0,6.87,0.98,0.98,0.98,0,1.96,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0.98,5.89,0,1.96,1.96,0,22.58,0,0,0,0,2.94,0,0,0,0,6.87,0,0
 84-94,0,0,0,0,2.12,2.12,0,0,0,0,0,18.05,0,0,2.12,0,16.99,1.06,0,1.06,0,4.25,2.12,0,0,0,4.25,1.06,0
 96-106,0,0,3.28,5.46,5.46,1.09,0,0,0,1.09,0,27.32,0,3.28,3.28,0,12.02,0,0,0,0,6.56,1.09,0,0,0,1.09,0,0
108-118,0,0,0.77,16.09,0,0,0,0,0,0,0,19.92,0,3.06,0.77,0,17.62,0,0,1.53,0,3.06,0.77,0,0,0,1.53,0,0
120,0,0,0,15.68,0,0,0,0,0,0,0,5.88,1.96,0,5.88,1.96,17.64,0,1.96,0,0,1.96,5.88,0,0,0,0,0,0
