stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0
 24-34,0,0.82,14.78,0,0,0,0,0,0,0,0,0,4.93,0.82,0,0,0,0.82,0,3.28,0,0,0,4.93,0,0,0,0,0
 36-46,0,0,3.22,0,0,0.81,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,4.02,0,0.57,2.3,0.57,0,0,0.57,0,0,1.15,3.44,0,0,0.57,0,0,1.72,0.57,0.57,0,4.02,0,0,1.15,0,1.15
 60-70,0,0,3.93,0,0,0,0,0,0,0,0,0,0.98,3.93,0,0,0.98,0,0,2.94,0.98,0,0,13.74,0,0,0,0.98,0.98
 72-82,0,0,17.67,0,0,1.96,0.98,0.98,0,0,0,0,0.98,1.96,0,0,0,0,0,0.98,0.98,0,0,5.89,0,0,0,5.89,0
 84-94,0,0,22.3,0,1.06,1.06,1.06,0,0,0,0,0,4.25,1.06,0,0,5.31,0,0,0,0,0,0,14.87,0,0,0,2.12,0
 96-106,0,0,31.69,0,2.19,3.28,0,1.09,3.28,0,0,2.19,9.84,5.46,2.19,1.09,3.28,1.09,0,3.28,2.19,0,0,31.69,0,0,0,14.21,0
108-118,0,0,57.45,0.77,1.53,0.77,0.77,0.77,2.3,0,0.77,0.77,8.43,7.66,2.3,0.77,6.89,0,0.77,1.53,1.53,0,0,35.23,0.77,0,0,11.49,0
120,0,0,52.91,0,0,3.92,0,0,3.92,0,0,1.96,9.8,1.96,0,1.96,5.88,0,0,3.92,0,1.96,0,35.28,0,0,0,7.84,1.96
