stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.25,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,79.69,784.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,7.89,0,0,21.03,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,128.81,7.89,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,9,3,5,0,0,1,0,0,0,0,0,0,0,0,5,0,0,3,67,0,0,0,3,1,1,7,0,5,18,0,0,1,0
 24-34,0,0,0.82,2.46,0,10.67,0,0.82,2.46,0,0,0,0,0,0,0.82,0,7.39,0,0,2.46,62.39,0,1.64,0,0,0.82,0,0,0,0.82,11.49,0,0,2.46,0.82
 36-46,0,0,0,0,0.81,4.83,0,0,4.83,0,0,0,0,0.81,0,0,0,4.83,0,0,2.42,34.64,0,1.61,0,0,0.81,0,0,0,0,8.06,0,0,0.81,0.81
 48-58,0,0,0,0,0,6.31,0.57,0,6.31,0,0,0,0,0,0,0,0,8.03,0,1.72,2.3,17.21,0,1.15,0.57,0,0.57,0,0,0.57,0,5.74,0,0,0.57,1.15
 60-70,0,0,0,1.96,0,3.93,0.98,0,3.93,0,0,0,0,1.96,0,0,0,7.85,0,0,0.98,16.69,0,1.96,0,0,0.98,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0.98,0.98,6.87,0,0.98,10.8,0,0,0,0,0,0,0,0,15.71,0,1.96,3.93,18.65,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0,0
 84-94,0,0,0,4.25,0,4.25,0,0,3.19,0,0,0,1.06,0,0,0,1.06,10.62,0,1.06,3.19,11.68,0,2.12,1.06,0,2.12,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,5.46,0,3.28,2.19,1.09,9.84,2.19,0,1.09,0,0,1.09,0,0,15.3,1.09,0,4.37,13.11,0,3.28,1.09,0,0,0,0,0,0,1.09,1.09,0,1.09,1.09
108-118,0,0,0,4.6,0,7.66,0.77,1.53,5.36,2.3,0,0,0,0.77,0,0,0,10.72,0,0,1.53,13.02,0,0.77,0,0,0.77,0.77,0,0,0,0.77,0,0.77,0,0.77
120,0,0,0,5.88,0,5.88,1.96,0,3.92,0,0,0,0,0,0,0,0,9.8,0,0,3.92,9.8,0,1.96,1.96,0,1.96,1.96,0,0,0,0,0,0,0,0
